"date_value","Homicide","Rape","Robbery/Gun","Robbery/Other","Aggravated Assault/Gun","Aggravated Assault/Other","Other Assaults","Sexual Assault and Other Sex Offenses","Burglary/Residential","Burglary/Commercial","Theft of Motor Vehicle Tag","Theft from Person","Theft from Auto","Retail Theft","Theft","Auto Theft","Fraud/Theft of Services","Embezzlement","Drug Possession","Drug Sales","DUI","Possession of Firearms","Prostitution/Sex Work","Patronizing Prostitutes","Threats of Violence","Uncategorized Offenses"
2014-01-01,0,2,3,1,0,17,13,1,5,0,0,0,3,3,1,3,1,0,7,4,21,8,0,0,1,16
2014-01-02,0,1,4,14,7,9,16,0,1,0,0,0,0,5,0,2,1,0,10,12,11,0,0,0,1,25
2014-01-03,0,0,3,0,4,7,8,0,0,1,0,0,0,6,0,2,2,0,4,9,2,0,0,0,0,6
2014-01-04,0,0,7,1,0,6,4,1,1,1,0,0,5,2,1,2,0,0,14,11,9,4,0,0,2,18
2014-01-05,0,0,1,3,3,7,7,1,0,0,0,0,0,2,0,1,0,0,6,3,11,3,0,0,0,5
2014-01-06,2,0,0,5,6,7,9,0,1,1,0,0,0,3,3,4,2,0,6,12,6,2,0,0,1,18
2014-01-07,0,0,0,7,2,4,7,0,7,0,0,0,0,6,6,2,2,0,7,11,7,6,1,0,1,23
2014-01-08,0,1,3,5,1,6,10,0,6,1,0,0,0,7,6,9,5,1,14,19,8,3,6,0,1,18
2014-01-09,1,0,4,2,0,8,7,1,5,1,0,0,0,6,3,7,2,3,23,22,6,1,1,0,1,35
2014-01-10,0,2,15,7,3,16,7,0,0,0,0,0,0,8,0,0,1,1,14,13,10,2,6,0,0,23
2014-01-11,0,0,4,3,1,6,6,0,1,0,0,0,0,6,1,3,1,0,24,21,21,2,3,0,1,31
2014-01-12,0,0,5,1,3,6,6,1,1,0,0,0,1,2,1,2,2,0,16,6,12,10,1,0,0,25
2014-01-13,0,1,5,4,0,15,14,0,10,1,0,0,7,5,3,1,5,0,19,6,7,0,0,0,1,17
2014-01-14,0,1,2,1,2,6,7,2,4,3,0,0,4,6,4,2,3,0,10,13,4,3,4,0,2,22
2014-01-15,0,1,11,1,0,9,5,0,3,1,0,0,0,3,7,2,6,2,34,38,9,1,4,0,1,35
2014-01-16,0,0,3,6,3,11,9,3,3,0,0,0,0,10,8,3,2,0,32,39,11,1,4,1,1,27
2014-01-17,1,1,8,2,2,7,4,1,3,0,0,0,0,10,3,2,1,2,37,35,24,8,1,0,4,25
2014-01-18,2,3,8,6,3,7,10,1,5,0,0,0,6,4,1,0,0,0,34,35,20,5,2,0,0,20
2014-01-19,0,0,7,3,0,3,1,0,0,0,0,0,1,6,7,0,0,0,13,14,17,2,2,0,0,22
2014-01-20,0,1,3,3,3,9,8,1,1,0,0,0,1,6,5,3,3,0,10,6,8,3,0,0,0,11
2014-01-21,0,0,3,4,0,3,2,0,1,1,1,0,3,6,0,0,0,0,10,8,9,3,1,0,1,21
2014-01-22,1,0,0,2,2,3,6,0,2,1,0,0,0,5,1,0,3,0,8,13,0,1,0,0,1,13
2014-01-23,0,2,1,0,1,5,11,2,3,1,0,0,1,3,2,2,2,1,15,27,4,2,2,0,3,17
2014-01-24,0,1,1,6,0,8,20,0,6,0,0,0,1,7,2,1,1,0,19,25,9,1,2,0,0,18
2014-01-25,1,0,2,5,1,6,3,0,9,0,0,0,0,3,0,3,3,0,12,13,9,1,2,0,1,17
2014-01-26,0,1,6,6,0,5,6,0,1,0,0,0,1,5,1,4,0,0,10,7,13,1,0,0,0,15
2014-01-27,0,0,1,7,3,6,9,0,0,0,0,0,1,3,1,2,0,0,12,10,12,4,4,0,3,16
2014-01-28,1,1,1,3,1,8,10,1,5,1,0,0,1,3,3,3,3,0,14,11,5,8,0,0,3,22
