"date_value","Homicide","Rape","Robbery/Gun","Robbery/Other","Aggravated Assault/Gun","Aggravated Assault/Other","Other Assaults","Sexual Assault and Other Sex Offenses","Burglary/Residential","Burglary/Commercial","Theft of Motor Vehicle Tag","Theft from Person","Theft from Auto","Retail Theft","Theft","Auto Theft","Fraud/Theft of Services","Embezzlement","Drug Possession","Drug Sales","DUI","Possession of Firearms","Prostitution/Sex Work","Patronizing Prostitutes","Threats of Violence","Uncategorized Offenses"
2014-01-01,0,1,1,0,0,17,12,1,5,0,0,0,1,4,1,3,1,0,8,1,22,7,0,0,0,9
2014-01-02,0,3,14,12,11,11,15,0,1,0,0,0,2,5,0,3,3,0,3,8,9,0,0,0,2,9
2014-01-03,0,1,8,2,1,7,13,0,0,1,0,0,0,8,0,2,1,0,9,14,7,0,0,0,0,8
2014-01-04,0,0,22,1,7,6,2,0,1,0,0,0,4,4,1,2,1,0,12,11,8,1,0,0,2,12
2014-01-05,0,0,1,2,1,5,7,2,0,0,0,0,1,3,0,0,0,1,5,1,6,6,0,0,0,1
2014-01-06,1,0,0,7,7,9,10,0,1,1,0,0,0,3,3,5,4,0,7,6,7,3,0,0,1,7
2014-01-07,1,1,0,7,2,4,8,0,5,0,0,0,0,8,3,2,3,0,7,16,8,4,1,0,1,11
2014-01-08,0,1,5,3,2,4,8,0,5,1,0,0,0,7,5,7,2,0,14,17,5,2,6,0,1,12
2014-01-09,1,0,10,10,2,10,7,0,2,1,0,0,0,7,2,5,3,4,20,16,5,3,2,0,0,15
2014-01-10,0,0,1,3,1,11,7,1,4,0,0,0,0,8,2,4,3,1,14,18,9,3,6,0,1,19
2014-01-11,0,1,26,5,3,8,7,3,1,0,0,0,0,9,1,3,0,0,26,25,19,2,3,0,1,13
2014-01-12,0,0,3,3,4,4,6,1,1,0,0,0,1,4,1,1,0,0,14,6,16,7,1,0,1,15
2014-01-13,0,1,7,2,0,14,12,1,6,1,0,0,21,4,4,2,3,0,14,1,7,0,0,0,1,16
2014-01-14,0,2,4,4,1,13,10,2,5,4,0,0,3,8,2,2,5,0,13,12,5,2,2,0,1,14
2014-01-15,0,0,30,1,1,6,7,2,5,0,0,0,7,3,4,3,1,1,29,22,7,1,6,0,2,25
2014-01-16,2,0,4,5,3,14,4,2,4,0,0,0,0,5,10,5,5,0,38,46,11,1,4,1,2,11
2014-01-17,2,1,11,0,2,2,6,0,2,0,0,0,0,9,3,2,0,0,28,28,20,6,1,0,1,14
2014-01-18,0,0,0,6,4,14,7,1,6,0,0,0,6,7,1,0,0,2,34,43,33,6,2,0,2,12
2014-01-19,3,2,11,8,0,3,2,0,0,0,0,0,1,10,2,0,2,0,17,21,20,2,2,0,0,11
2014-01-20,0,1,6,1,2,12,7,1,2,0,0,0,3,6,6,3,2,0,5,3,6,2,0,0,0,11
2014-01-21,0,1,8,4,1,7,4,0,1,0,1,0,3,9,3,0,0,1,15,7,9,4,1,0,0,7
2014-01-22,1,0,0,1,2,4,4,1,0,1,0,0,0,2,0,0,0,0,7,17,0,0,0,0,4,3
2014-01-23,0,1,5,3,1,4,13,1,5,0,0,0,1,4,2,2,4,1,12,20,2,3,2,0,2,6
2014-01-24,0,1,4,2,1,5,22,0,4,1,0,0,1,4,1,0,2,0,15,16,8,1,2,0,1,6
2014-01-25,1,0,2,6,1,10,5,0,17,0,0,0,0,8,1,1,3,0,15,26,10,1,2,0,1,10
2014-01-26,0,1,6,9,0,9,5,0,1,0,0,0,1,5,1,3,1,0,11,9,10,1,0,0,1,6
2014-01-27,0,0,0,3,1,2,5,0,0,0,0,0,1,3,2,3,0,0,10,3,12,6,4,0,2,35
2014-01-28,1,1,2,6,1,11,7,2,4,0,0,0,1,2,4,1,0,0,13,12,7,6,0,0,0,11
2014-01-29,0,0,6,2,3,6,11,1,4,4,0,0,2,7,14,5,2,0,28,18,5,3,4,0,2,6
2014-01-30,0,2,9,5,1,4,6,1,7,1,0,0,36,4,2,1,5,0,17,21,11,3,1,0,2,8
2014-01-31,0,1,7,4,7,5,11,0,1,2,0,0,0,1,2,2,0,0,18,26,12,4,2,0,1,8
2014-02-01,0,1,0,3,7,10,10,0,3,0,0,0,1,5,2,2,0,0,20,25,18,4,2,0,0,15
2014-02-02,0,1,0,3,0,2,7,0,0,0,0,0,0,8,2,1,0,0,18,15,23,3,2,0,0,5
2014-02-03,0,1,0,4,2,2,8,1,4,0,0,0,4,0,1,1,0,0,0,2,15,0,0,0,0,4
2014-02-04,0,3,5,1,2,4,9,1,0,0,0,0,0,8,5,3,2,1,12,11,5,1,4,0,0,5
2014-02-05,1,2,3,1,1,6,8,0,5,0,0,0,4,10,0,3,2,1,23,26,8,4,1,0,0,12
2014-02-06,1,1,4,5,4,7,5,0,6,1,0,0,3,5,0,2,2,1,27,31,6,4,0,0,2,7
2014-02-07,0,1,0,5,3,8,4,2,3,4,0,0,2,3,26,1,10,0,26,33,14,5,5,0,2,11
2014-02-08,0,0,3,7,0,7,6,0,1,5,0,0,0,18,1,2,2,1,22,25,15,7,2,0,1,12
2014-02-09,0,2,15,2,3,7,12,1,1,0,0,0,0,12,2,1,0,0,32,18,18,4,0,0,0,9
2014-02-10,1,0,0,4,10,3,7,0,2,0,0,0,0,4,1,0,2,0,2,3,9,1,0,0,0,12
2014-02-11,0,0,1,1,6,9,10,0,2,1,0,0,3,7,3,1,6,1,20,15,7,3,0,0,2,5
2014-02-12,1,1,6,2,1,1,9,1,2,0,0,0,3,8,0,1,5,0,30,11,5,6,0,0,0,4
2014-02-13,0,0,7,2,5,4,8,0,1,0,0,0,0,4,0,0,7,0,14,32,11,3,2,0,1,8
2014-02-14,0,0,0,0,3,4,3,0,5,1,0,0,0,5,2,1,0,1,9,9,5,0,0,0,0,3
2014-02-15,0,0,3,3,7,9,10,0,0,0,0,0,0,9,1,3,0,0,20,25,15,4,2,0,0,7
2014-02-16,0,1,2,13,2,8,8,0,2,0,0,0,3,7,0,0,1,0,12,11,18,3,2,0,1,8
2014-02-17,0,0,8,5,6,6,14,0,0,0,0,0,0,3,0,0,1,0,6,11,10,1,4,0,0,8
2014-02-18,0,3,1,0,4,8,9,2,2,1,0,0,0,11,2,3,2,1,18,13,8,10,0,0,1,10
2014-02-19,0,1,3,3,0,12,10,0,4,1,0,0,0,5,5,2,4,0,18,9,8,2,2,0,3,11
2014-02-20,0,0,5,1,5,9,4,2,5,0,1,0,0,8,1,4,0,0,29,31,9,4,6,0,0,28
2014-02-21,1,3,2,2,5,8,12,0,2,0,0,0,0,9,3,1,3,0,32,28,10,3,4,0,1,12
2014-02-22,0,1,4,3,2,5,6,2,4,0,0,0,0,4,2,0,3,0,23,28,19,1,0,0,0,14
