"date_value","Retail Theft","Theft","Fraud/Theft of Services","Vandalism","Alcohol Possession by Minor","Public Drunkenness","Trespass","Disorderly Conduct","Minor Violations (Open Container, Public Urination, Smoking Violation)","Uncategorized Offenses"
2014-01-01,5,0,29,1,2,2,11,12,116,2
2014-01-02,6,1,9,1,0,1,6,18,48,4
2014-01-03,1,0,13,0,0,1,1,5,18,0
2014-01-04,4,0,17,1,0,2,1,1,38,2
2014-01-05,5,0,8,0,0,1,1,8,39,4
2014-01-06,8,0,16,1,0,0,2,5,23,6
2014-01-07,7,0,15,1,0,1,4,2,23,2
2014-01-08,3,0,15,0,0,2,1,2,27,1
2014-01-09,7,0,20,0,0,1,6,7,32,3
2014-01-10,3,0,11,1,0,1,3,6,19,3
2014-01-11,6,0,8,1,0,1,1,4,34,2
2014-01-12,6,0,8,1,0,1,0,9,22,2
2014-01-13,10,1,8,0,0,0,6,5,22,2
2014-01-14,4,0,16,0,1,1,7,18,45,1
2014-01-15,11,0,18,0,0,0,15,17,44,6
2014-01-16,8,0,11,0,0,1,3,21,28,5
2014-01-17,7,0,16,1,0,0,6,7,39,2
2014-01-18,9,0,23,0,3,0,5,12,42,3
2014-01-19,8,0,18,2,0,1,4,6,17,1
2014-01-20,4,0,19,1,0,1,7,6,29,1
2014-01-21,3,0,7,1,0,1,2,6,14,2
2014-01-22,5,0,6,0,0,0,0,3,15,1
2014-01-23,4,0,10,1,0,0,6,9,11,2
2014-01-24,10,0,8,0,0,0,4,6,19,0
2014-01-25,6,0,9,0,0,1,4,2,20,4
2014-01-26,3,1,14,0,0,0,4,3,12,3
2014-01-27,11,0,18,0,0,0,1,11,14,4
2014-01-28,6,0,18,0,0,0,4,14,22,3
2014-01-29,11,0,13,0,0,1,2,6,26,4
2014-01-30,13,0,11,0,0,1,3,8,32,3
2014-01-31,4,0,14,0,1,1,1,27,47,2
2014-02-01,7,0,14,1,2,2,2,6,63,5
2014-02-02,7,0,25,0,3,1,5,5,25,3
2014-02-03,5,0,4,1,0,1,1,3,16,2
2014-02-04,3,0,15,1,0,1,3,12,32,6
2014-02-05,4,0,14,0,0,2,3,10,20,1
2014-02-06,5,0,13,0,0,2,1,9,36,1
2014-02-07,9,0,18,1,0,3,5,9,41,1
2014-02-08,8,0,13,2,5,6,1,5,54,4
