"date_value","dispoType","Retail Theft","Theft","Fraud/Theft of Services","Vandalism","Alcohol Possession by Minor","Public Drunkenness","Trespass","Disorderly Conduct","Minor Violations (Open Container, Public Urination, Smoking Violation)","Uncategorized Offenses"
2014-01-02,"Dismissed/Withdrawn/Etc",0,0,0,0,0,0,0,0,0,0
2014-01-02,"Diversion",0,0,0,0,0,0,0,0,0,0
2014-01-02,"Guilty",0,0,0,0,0,0,0,0,0,0
2014-01-02,"Guilty Plea/Nolo",0,0,0,0,0,0,0,0,1,1
2014-01-02,"Not Guilty/Acquittal",0,0,0,0,0,0,0,0,0,0
2014-01-02,"Total",0,0,0,0,0,0,0,0,1,1
2014-01-06,"Dismissed/Withdrawn/Etc",24,0,0,1,0,0,0,3,2,12
2014-01-06,"Diversion",0,0,0,0,0,0,0,0,0,0
2014-01-06,"Guilty",0,0,2,0,1,2,1,7,44,26
2014-01-06,"Guilty Plea/Nolo",0,0,0,1,0,0,0,0,1,1
2014-01-06,"Not Guilty/Acquittal",0,0,1,1,1,0,1,4,14,15
2014-01-06,"Total",24,0,3,3,2,2,2,14,61,54
2014-01-07,"Dismissed/Withdrawn/Etc",5,0,5,1,0,0,1,1,4,6
2014-01-07,"Diversion",0,0,0,0,0,0,0,0,0,0
2014-01-07,"Guilty",1,0,11,0,0,2,4,5,32,18
2014-01-07,"Guilty Plea/Nolo",0,0,0,0,0,0,0,0,0,1
2014-01-07,"Not Guilty/Acquittal",0,0,1,0,0,0,5,7,16,11
2014-01-07,"Total",6,0,17,1,0,2,10,13,52,36
2014-01-08,"Dismissed/Withdrawn/Etc",14,0,5,0,0,0,2,1,1,10
2014-01-08,"Diversion",0,0,0,0,0,0,0,0,0,0
2014-01-08,"Guilty",3,0,8,0,0,0,5,3,47,27
2014-01-08,"Guilty Plea/Nolo",0,0,2,0,0,0,0,2,6,4
2014-01-08,"Not Guilty/Acquittal",0,0,4,0,1,0,3,6,5,13
2014-01-08,"Total",17,0,19,0,1,0,10,12,59,54
2014-01-09,"Dismissed/Withdrawn/Etc",8,0,3,1,0,1,0,4,0,11
2014-01-09,"Diversion",0,0,0,0,0,0,0,0,0,0
2014-01-09,"Guilty",0,0,2,0,0,0,2,12,38,27
2014-01-09,"Guilty Plea/Nolo",0,0,0,1,0,0,1,0,1,4
2014-01-09,"Not Guilty/Acquittal",0,0,0,0,1,3,0,2,19,8
2014-01-09,"Total",8,0,5,2,1,4,3,18,58,50
2014-01-10,"Dismissed/Withdrawn/Etc",4,0,0,0,0,0,0,0,3,6
2014-01-10,"Diversion",0,0,0,0,0,0,0,0,0,0
2014-01-10,"Guilty",0,0,0,0,0,0,0,1,1,2
2014-01-10,"Guilty Plea/Nolo",3,0,1,0,0,0,1,1,2,4
2014-01-10,"Not Guilty/Acquittal",0,0,0,0,0,0,0,1,0,2
2014-01-10,"Total",7,0,1,0,0,0,1,3,6,14
2014-01-11,"Dismissed/Withdrawn/Etc",0,0,0,0,0,0,0,0,0,0
2014-01-11,"Diversion",47,0,17,0,52,9,11,57,34,104
2014-01-11,"Guilty",0,0,0,0,0,0,0,0,0,0
2014-01-11,"Guilty Plea/Nolo",0,0,0,0,0,0,0,0,0,0
2014-01-11,"Not Guilty/Acquittal",0,0,0,0,0,0,0,0,0,0
2014-01-11,"Total",47,0,17,0,52,9,11,57,34,104
2014-01-13,"Dismissed/Withdrawn/Etc",0,0,0,0,0,0,0,0,0,0
2014-01-13,"Diversion",0,0,0,0,0,0,0,0,0,0
2014-01-13,"Guilty",0,0,0,0,0,0,0,0,0,0
