"date_value","Retail Theft","Theft","Fraud/Theft of Services","Vandalism","Alcohol Possession by Minor","Public Drunkenness","Trespass","Disorderly Conduct","Minor Violations (Open Container, Public Urination, Smoking Violation)","Uncategorized Offenses"
2014-01-01,4,1,18,0,2,1,10,6,97,41
2014-01-02,2,0,4,1,0,1,2,13,34,25
2014-01-03,0,0,13,1,0,1,1,4,15,19
2014-01-04,6,0,13,0,0,1,2,0,44,36
2014-01-05,4,0,5,0,0,0,0,4,9,15
2014-01-06,6,0,15,1,0,0,0,5,17,26
2014-01-07,5,0,7,0,0,1,2,1,19,13
2014-01-08,3,0,13,0,0,2,1,1,23,17
2014-01-09,4,0,13,1,0,0,7,3,18,22
2014-01-10,2,0,13,0,0,0,0,5,25,14
2014-01-11,8,0,3,2,0,0,0,4,23,30
2014-01-12,6,0,4,0,0,0,0,3,14,14
2014-01-13,8,0,11,0,0,0,3,2,21,16
2014-01-14,7,0,8,0,0,0,7,14,36,28
2014-01-15,6,0,8,0,0,0,9,13,27,35
2014-01-16,7,0,10,0,0,0,0,14,24,31
2014-01-17,8,0,19,0,3,0,3,5,28,38
2014-01-18,11,0,10,0,0,0,2,10,27,23
2014-01-19,3,0,15,1,0,0,2,3,11,16
2014-01-20,4,0,10,1,0,1,4,5,15,23
2014-01-21,1,0,5,1,0,1,1,4,7,9
2014-01-22,7,0,2,0,0,0,2,2,12,14
2014-01-23,3,0,4,1,0,0,3,3,13,23
2014-01-24,9,0,6,0,0,0,2,6,12,23
2014-01-25,5,0,12,0,0,1,3,1,11,12
2014-01-26,6,1,8,0,0,0,4,2,8,15
2014-01-27,7,0,10,0,0,0,0,9,7,15
2014-01-28,5,0,14,0,0,0,2,8,20,24
2014-01-29,13,0,9,0,0,1,3,4,17,20
2014-01-30,9,0,10,0,0,0,2,4,17,28
2014-01-31,4,0,13,0,3,1,0,22,38,35
2014-02-01,6,0,19,1,3,0,2,4,42,25
2014-02-02,5,0,9,0,0,1,0,4,16,17
2014-02-03,3,0,3,1,0,1,2,3,11,12
2014-02-04,2,0,10,1,0,0,1,10,21,27
2014-02-05,4,0,7,0,0,0,2,6,15,22
2014-02-06,4,0,12,0,0,2,2,6,28,21
2014-02-07,8,0,12,0,5,4,3,7,32,34
2014-02-08,5,0,6,4,0,1,1,7,17,32
2014-02-09,4,0,5,0,0,0,0,3,10,8
2014-02-10,8,0,2,0,0,0,1,10,12,24
2014-02-11,6,0,3,0,0,2,0,3,15,18
2014-02-12,3,0,5,0,0,0,1,4,9,22
2014-02-13,4,0,2,0,0,0,3,2,8,15
2014-02-14,6,0,14,0,0,1,6,5,32,24
2014-02-15,1,0,4,1,1,3,2,4,13,19
2014-02-16,7,0,4,1,0,1,1,5,6,8
2014-02-17,3,0,5,0,0,0,1,7,10,11
2014-02-18,5,0,12,0,0,1,4,3,23,12
2014-02-19,2,0,7,0,0,0,2,9,13,27
2014-02-20,4,0,8,0,0,1,4,9,20,27
2014-02-21,4,0,13,1,0,1,3,5,35,25
2014-02-22,4,0,23,0,1,3,8,10,40,44
2014-02-23,3,0,9,0,0,2,7,8,15,24
2014-02-24,1,0,6,1,0,0,3,9,13,13
2014-02-25,7,0,4,0,0,0,3,5,17,19
2014-02-26,6,0,7,0,0,0,0,5,18,20
2014-02-27,4,0,4,0,0,1,7,20,18,31
2014-02-28,6,0,12,0,0,1,3,9,29,40
2014-03-01,2,0,5,0,4,3,3,7,38,39
2014-03-02,7,0,4,0,0,1,0,4,1,5
2014-03-03,7,0,8,0,0,0,1,1,12,10
2014-03-04,3,0,5,0,0,0,5,5,11,28
2014-03-05,9,0,4,0,0,0,5,10,16,23
2014-03-06,4,0,16,1,0,0,0,3,28,34
2014-03-07,5,0,13,0,2,1,9,6,35,30
2014-03-08,9,0,14,2,3,1,8,15,26,29
2014-03-09,8,0,7,0,0,0,0,6,12,6
2014-03-10,6,1,10,6,0,0,1,16,12,12
2014-03-11,5,0,7,0,1,0,4,7,31,35
2014-03-12,3,0,7,0,2,3,4,7,31,33
2014-03-13,8,0,16,0,0,1,4,6,15,33
2014-03-14,6,0,7,0,4,2,5,5,31,31
2014-03-15,10,0,11,0,3,4,1,16,28,31
2014-03-16,7,0,5,1,0,0,0,6,13,22
2014-03-17,9,0,7,1,0,0,1,4,10,9
2014-03-18,5,0,16,0,0,0,9,7,26,34
2014-03-19,9,0,5,0,0,0,0,4,19,22
2014-03-20,5,0,9,2,0,1,5,17,31,30
2014-03-21,7,0,20,0,1,0,4,13,41,38
2014-03-22,4,0,12,2,0,3,1,6,21,16
2014-03-23,5,0,4,0,0,1,1,4,14,5
2014-03-24,7,0,5,1,0,0,2,10,11,21
2014-03-25,4,0,10,1,0,0,5,6,20,26
2014-03-26,7,0,9,2,0,2,8,11,29,18
2014-03-27,3,0,10,0,0,0,8,5,36,37
2014-03-28,2,0,14,0,6,0,5,9,35,51
2014-03-29,4,0,6,0,2,3,3,3,21,24
2014-03-30,4,0,3,0,3,1,1,4,9,9
2014-03-31,3,0,7,0,0,0,2,4,10,16
2014-04-01,2,0,10,0,0,0,10,9,38,35
2014-04-02,8,0,10,1,0,0,9,6,26,28
2014-04-03,1,0,9,0,0,2,4,8,49,31
2014-04-04,5,0,9,0,0,0,2,7,37,22
2014-04-05,6,0,16,2,0,1,4,4,30,29
2014-04-06,6,0,3,0,0,1,4,3,8,14
2014-04-07,7,0,3,1,0,0,2,8,16,16
2014-04-08,5,0,2,2,0,1,8,17,29,70
2014-04-09,9,0,7,0,1,0,9,8,33,29
2014-04-10,2,0,10,1,0,1,7,7,37,56
2014-04-11,6,0,12,1,8,2,2,9,37,49
2014-04-12,3,0,5,1,1,5,8,14,32,82
2014-04-13,2,0,5,1,2,4,3,3,22,21
2014-04-14,4,0,4,0,3,1,1,7,34,24
