"date_value","Homicide","Rape","Robbery/Gun","Robbery/Other","Aggravated Assault/Gun","Aggravated Assault/Other","Other Assaults","Sexual Assault and Other Sex Offenses","Burglary/Residential","Burglary/Commercial","Theft of Motor Vehicle Tag","Theft from Person","Theft from Auto","Retail Theft","Theft","Auto Theft","Fraud/Theft of Services","Embezzlement","Drug Possession","Drug Sales","DUI","Possession of Firearms","Prostitution/Sex Work","Patronizing Prostitutes","Threats of Violence","Uncategorized Offenses"
2014-01-02,0,0,0,0,7,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,17
2014-01-06,0,0,12,0,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,12,0,1,1,0,0,0
2014-01-07,3,10,26,0,8,0,6,2,2,0,0,0,1,0,0,0,0,0,0,16,0,5,0,0,0,2
2014-01-08,14,0,0,5,12,3,0,0,2,0,0,0,2,1,0,0,0,0,1,14,0,2,0,0,0,4
2014-01-09,21,3,11,5,0,13,0,5,1,0,0,0,0,0,2,0,0,0,0,28,1,0,0,0,0,0
2014-01-10,47,8,18,0,7,0,0,0,1,0,0,0,1,0,0,0,0,0,1,12,0,0,0,0,0,1
2014-01-13,22,4,0,4,0,1,2,0,7,1,4,0,0,0,0,0,0,0,0,11,0,3,0,0,3,4
2014-01-14,0,0,5,4,8,5,0,1,0,0,0,0,0,0,0,0,3,0,1,17,0,3,0,0,0,0
2014-01-15,55,0,0,5,5,0,0,4,13,0,0,0,0,0,1,0,0,0,0,10,0,1,0,0,0,4
2014-01-16,34,0,4,0,11,2,2,0,1,0,0,0,0,0,0,1,0,0,2,18,0,4,0,0,0,7
2014-01-17,27,5,0,3,17,6,0,0,4,0,0,0,2,1,0,1,0,0,0,13,0,9,0,0,0,0
2014-01-21,5,11,5,3,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,2,0,2,0,0,0,1
2014-01-23,0,0,15,0,4,11,7,0,0,1,0,0,0,0,0,0,0,0,0,12,0,2,0,0,0,5
2014-01-24,0,5,0,3,1,7,0,0,0,0,0,0,0,0,7,0,1,0,0,17,0,6,0,0,0,13
