"date_value","Homicide","Rape","Robbery/Gun","Robbery/Other","Aggravated Assault/Gun","Aggravated Assault/Other","Other Assaults","Sexual Assault and Other Sex Offenses","Burglary/Residential","Burglary/Commercial","Theft of Motor Vehicle Tag","Theft from Person","Theft from Auto","Retail Theft","Theft","Auto Theft","Fraud/Theft of Services","Embezzlement","Drug Possession","Drug Sales","DUI","Possession of Firearms","Prostitution/Sex Work","Patronizing Prostitutes","Threats of Violence","Uncategorized Offenses"
2014-01-02,0,0,0,8,3,14,1,3,3,0,0,0,0,13,1,0,0,0,4,32,8,4,3,0,0,32
2014-01-06,0,0,18,0,9,7,0,7,5,0,0,0,3,10,1,14,0,0,7,52,4,12,7,0,0,10
2014-01-07,3,29,30,5,6,1,28,17,4,0,0,0,3,20,0,4,4,0,9,83,7,15,0,0,0,11
2014-01-08,8,10,0,16,16,3,7,0,3,11,0,0,5,10,15,3,0,0,12,104,17,16,1,0,0,22
2014-01-09,19,11,40,16,0,15,4,8,10,3,0,0,0,4,7,0,0,0,5,85,14,9,0,0,0,11
2014-01-10,0,11,18,0,8,4,2,3,8,0,0,0,10,5,10,0,0,0,10,45,5,1,1,0,0,12
2014-01-13,15,2,0,27,0,9,11,0,32,0,6,0,0,2,7,2,0,1,12,49,17,7,0,0,9,26
2014-01-14,0,3,7,8,16,29,8,6,5,0,0,0,0,11,6,0,9,0,6,80,3,13,2,0,3,18
2014-01-15,0,0,5,22,15,4,13,13,6,3,0,5,0,16,23,2,14,0,17,50,7,12,0,0,1,19
2014-01-16,17,0,10,0,10,18,4,0,3,0,0,0,0,11,0,11,0,0,5,49,1,8,0,0,2,24
2014-01-17,13,15,2,7,23,16,1,0,10,0,0,0,5,9,3,10,0,0,12,40,10,11,3,0,1,5
2014-01-21,2,29,9,4,0,3,0,5,8,0,0,0,0,3,2,2,6,0,4,32,11,8,0,0,0,23
2014-01-23,0,0,27,0,10,18,19,0,5,3,0,0,0,2,0,0,0,0,6,77,7,6,3,0,0,24
2014-01-24,0,12,0,7,6,17,4,0,8,4,0,0,1,4,5,0,12,0,18,51,5,4,2,0,0,24
2014-01-27,0,7,7,10,44,3,1,0,4,4,0,0,2,15,4,3,3,0,12,33,11,5,1,0,0,16
2014-01-28,13,18,20,6,7,8,5,0,15,0,0,0,0,9,6,0,11,0,7,67,6,6,11,0,0,32
2014-01-29,0,0,8,3,0,8,7,0,9,6,0,0,2,25,2,0,5,0,12,71,10,28,3,0,0,15
2014-01-30,0,0,20,26,9,6,6,3,13,0,0,0,0,10,4,0,10,0,8,89,5,2,4,0,11,44
2014-01-31,0,7,5,6,5,5,5,10,7,0,0,0,1,6,0,4,4,0,13,69,4,12,1,0,0,25
2014-02-03,3,0,0,0,0,7,2,1,10,0,0,0,2,2,5,0,0,0,7,27,6,5,1,0,0,4
2014-02-04,2,10,14,2,0,5,2,0,10,0,0,0,0,3,1,0,0,0,9,66,4,4,1,0,0,18
2014-02-05,0,0,0,4,7,15,8,0,14,0,0,0,3,19,4,0,6,0,4,32,2,23,2,1,4,13
2014-02-06,20,0,16,4,0,6,5,0,10,0,0,0,3,4,0,0,0,0,3,68,7,15,1,0,0,6
2014-02-07,0,3,30,4,18,22,3,0,4,5,0,0,2,8,14,2,5,0,10,30,7,10,7,0,0,17
2014-02-10,0,0,12,9,16,19,3,0,4,0,0,0,2,9,0,5,0,0,9,54,19,5,0,0,0,0
2014-02-11,0,6,0,10,13,18,6,7,24,0,0,0,0,12,8,0,0,0,22,62,5,30,2,0,0,16
2014-02-12,3,0,27,9,11,11,5,2,6,0,0,0,0,5,0,0,0,7,16,75,2,8,0,0,3,10
2014-02-14,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-18,0,4,0,0,10,25,12,7,1,3,0,0,0,15,0,0,0,0,2,53,6,8,3,0,0,9
2014-02-19,10,0,23,21,17,30,4,0,3,7,0,0,0,10,19,0,0,3,6,73,1,9,6,0,1,8
2014-02-20,0,2,0,6,2,8,0,4,12,0,0,0,0,4,0,0,3,0,19,41,0,11,3,0,0,6
2014-02-21,0,0,0,15,2,6,1,5,9,0,0,2,1,4,4,2,0,0,12,38,2,13,4,0,0,9
2014-02-24,0,0,22,4,9,14,2,8,12,4,0,0,3,8,1,0,3,6,8,35,16,0,3,0,0,21
2014-02-25,0,20,22,13,37,14,0,0,24,2,0,0,0,12,5,6,4,0,7,106,3,2,4,0,0,29
2014-02-26,0,0,21,0,14,17,3,5,4,5,0,0,1,24,4,6,7,0,20,35,4,8,1,0,0,5
2014-02-27,1,0,13,15,0,26,3,0,4,4,0,0,0,15,12,2,0,5,16,38,17,10,0,0,0,20
2014-02-28,8,0,8,9,49,15,0,1,16,0,0,0,0,9,3,2,1,0,19,51,4,9,2,0,0,17
2014-03-03,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-04,23,10,43,23,11,15,2,6,8,0,0,0,0,13,0,0,0,0,12,132,17,16,3,0,0,24
2014-03-05,0,0,15,7,0,13,2,0,21,4,0,0,1,18,2,3,1,0,10,61,2,17,2,0,0,18
2014-03-06,0,10,16,9,7,28,10,31,17,0,0,0,0,22,2,6,3,0,6,73,10,8,0,0,4,12
2014-03-07,29,0,5,3,8,13,9,8,12,0,0,0,0,17,0,0,4,0,24,61,3,24,2,0,0,14
2014-03-10,20,0,5,47,3,17,12,0,0,0,0,0,7,11,1,6,5,4,9,46,10,1,0,0,2,27
2014-03-11,0,13,31,18,9,9,1,6,34,4,0,0,0,17,3,7,0,0,24,86,7,0,1,0,3,24
2014-03-12,0,0,0,6,4,6,2,0,20,0,0,0,3,24,11,7,9,0,16,39,5,5,3,0,0,9
2014-03-13,0,2,13,50,8,11,3,0,9,11,0,0,2,6,0,0,0,0,4,62,3,23,1,0,4,15
2014-03-14,17,13,18,0,5,7,3,0,5,0,0,0,0,7,0,0,0,4,13,51,8,32,2,1,0,11
2014-03-17,18,7,0,4,9,9,2,2,9,3,0,0,10,11,4,0,6,6,10,40,7,18,1,0,0,19
2014-03-18,0,0,40,22,0,8,0,0,7,13,0,0,0,15,5,10,3,0,10,89,5,4,1,0,0,21
2014-03-19,8,0,0,0,1,19,24,0,23,2,0,0,0,24,5,0,2,0,5,94,2,0,0,0,7,22
2014-03-20,0,0,17,2,5,22,3,6,13,0,0,0,0,14,2,7,6,2,20,94,7,10,8,0,1,23
2014-03-21,0,15,0,1,20,2,27,11,4,0,0,0,0,4,5,5,1,2,15,47,8,14,2,0,5,20
2014-03-24,5,0,1,5,5,6,3,0,3,3,0,0,1,9,5,6,5,0,6,36,9,2,2,0,5,18
2014-03-25,12,5,0,8,3,0,0,0,21,9,0,0,5,7,6,10,5,0,10,54,9,7,4,0,0,20
2014-03-26,3,0,17,22,0,5,12,6,10,3,0,0,0,13,6,5,0,0,12,86,13,10,0,0,0,6
2014-03-27,5,0,0,26,7,13,3,0,11,4,0,0,0,7,4,0,2,0,3,65,4,0,1,0,0,17
2014-03-28,0,4,16,1,5,20,1,0,4,2,0,0,0,7,8,0,2,0,14,41,2,19,2,0,0,11
