"date_value","dc_district","Retail Theft","Theft","Fraud/Theft of Services","Vandalism","Alcohol Possession by Minor","Public Drunkenness","Trespass","Disorderly Conduct","Minor Violations (Open Container, Public Urination, Smoking Violation)","Uncategorized Offenses"
2014-01-01,"01",2,0,0,0,0,0,0,0,0,0
2014-01-01,"02",0,0,0,0,0,1,0,0,1,0
2014-01-01,"03",0,0,0,0,0,0,0,0,0,0
2014-01-01,"05",0,0,0,0,0,0,0,1,0,0
2014-01-01,"06",0,0,0,0,0,0,0,0,0,0
2014-01-01,"07",0,0,0,0,0,0,0,0,0,0
2014-01-01,"08",0,0,0,0,0,0,0,0,0,0
2014-01-01,"09",0,0,0,0,0,0,0,0,0,0
2014-01-01,"12",0,0,0,0,0,0,0,0,0,0
2014-01-01,"14",0,0,0,0,0,0,0,0,0,0
2014-01-01,"15",0,0,0,1,0,0,0,0,0,0
2014-01-01,"16",0,0,0,0,0,0,0,0,4,0
2014-01-01,"17",1,0,0,0,0,0,0,2,0,0
2014-01-01,"18",1,0,0,0,0,0,0,0,0,0
2014-01-01,"19",1,0,0,0,0,0,0,0,7,0
2014-01-01,"22",0,0,0,0,0,0,0,2,0,0
2014-01-01,"24",0,0,0,0,0,0,8,0,0,0
2014-01-01,"25",0,0,0,0,0,0,0,0,0,0
2014-01-01,"26",0,0,0,0,0,1,0,0,0,2
2014-01-01,"35",0,0,0,0,0,0,0,0,2,0
2014-01-01,"39",0,0,0,0,0,0,0,0,0,0
2014-01-01,"49",0,0,29,0,2,0,3,7,102,0
2014-01-01,"71",0,0,0,0,0,0,0,0,0,0
2014-01-01,"77",0,0,0,0,0,0,0,0,0,0
2014-01-02,"01",0,0,0,0,0,0,0,0,0,0
2014-01-02,"02",0,0,0,0,0,0,0,2,4,1
2014-01-02,"03",1,0,0,0,0,0,0,1,0,0
2014-01-02,"05",0,0,0,0,0,0,0,1,0,0
2014-01-02,"06",1,0,0,1,0,0,0,3,1,0
2014-01-02,"07",0,0,0,0,0,0,0,0,0,0
2014-01-02,"08",0,0,0,0,0,0,0,0,0,0
2014-01-02,"09",1,0,0,0,0,0,0,2,0,0
2014-01-02,"12",0,0,0,0,0,0,0,0,0,0
2014-01-02,"14",0,1,0,0,0,0,0,0,0,0
2014-01-02,"15",0,0,0,0,0,0,0,0,0,0
2014-01-02,"16",0,0,0,0,0,0,0,6,14,0
2014-01-02,"17",0,0,0,0,0,0,0,0,0,0
2014-01-02,"18",0,0,0,0,0,0,1,0,1,0
2014-01-02,"19",0,0,0,0,0,0,0,1,13,0
2014-01-02,"22",1,0,0,0,0,0,0,0,0,0
2014-01-02,"24",0,0,0,0,0,1,5,1,0,0
2014-01-02,"25",1,0,0,0,0,0,0,0,0,1
2014-01-02,"26",0,0,0,0,0,0,0,0,0,1
2014-01-02,"35",0,0,0,0,0,0,0,0,3,0
2014-01-02,"39",1,0,0,0,0,0,0,0,0,0
2014-01-02,"49",0,0,9,0,0,0,0,1,12,1
