"date_value","dc_district","Retail Theft","Theft","Fraud/Theft of Services","Vandalism","Alcohol Possession by Minor","Public Drunkenness","Trespass","Disorderly Conduct","Minor Violations (Open Container, Public Urination, Smoking Violation)","Uncategorized Offenses","<NA>"
2014-01-02,"01",0,0,0,0,0,0,0,0,0,0,0
2014-01-02,"02",0,0,0,0,0,0,0,0,0,0,0
2014-01-02,"03",0,0,0,0,0,0,0,0,0,0,0
2014-01-02,"04",0,0,0,0,0,0,0,0,0,0,0
2014-01-02,"05",0,0,0,0,0,0,0,0,0,0,0
2014-01-02,"06",0,0,0,0,0,0,0,0,0,0,0
2014-01-02,"07",0,0,0,0,0,0,0,0,0,0,0
2014-01-02,"08",0,0,0,0,0,0,0,0,0,0,0
2014-01-02,"09",0,0,0,0,0,0,0,0,0,0,0
2014-01-02,"12",0,0,0,0,0,0,0,0,0,0,0
2014-01-02,"14",0,0,0,0,0,0,0,0,0,0,0
2014-01-02,"15",0,0,0,0,0,0,0,0,0,0,0
2014-01-02,"16",0,0,0,0,0,0,0,0,0,0,0
2014-01-02,"17",0,0,0,0,0,0,0,0,0,0,0
2014-01-02,"18",0,0,0,0,0,0,0,0,0,0,0
2014-01-02,"19",0,0,0,0,0,0,0,0,0,0,0
2014-01-02,"22",0,0,0,0,0,0,0,0,0,0,0
2014-01-02,"23",0,0,0,0,0,0,0,0,0,0,0
2014-01-02,"24",0,0,0,0,0,0,0,0,0,0,0
2014-01-02,"25",0,0,0,0,0,0,0,0,0,0,0
2014-01-02,"26",0,0,0,0,0,0,0,0,0,0,0
2014-01-02,"35",0,0,0,0,0,0,0,0,0,0,0
2014-01-02,"39",0,0,0,0,0,0,0,0,0,0,0
2014-01-02,"45",0,0,0,0,0,0,0,0,0,0,0
2014-01-02,"49",0,0,0,0,0,0,0,0,92,93,0
2014-01-02,"71",0,0,0,0,0,0,0,0,0,0,0
2014-01-02,"77",0,0,0,0,0,0,0,0,0,0,0
2014-01-06,"01",0,0,0,0,0,0,0,0,80,69,0
2014-01-06,"02",178,0,0,0,0,0,87,46,69,72,0
