"date_value","ZCTA_GEOID","Retail Theft","Theft","Fraud/Theft of Services","Vandalism","Alcohol Possession by Minor","Public Drunkenness","Trespass","Disorderly Conduct","Minor Violations (Open Container, Public Urination, Smoking Violation)","Uncategorized Offenses","<NA>"
2014-01-02,"19102",0,0,0,0,0,0,0,0,0,0,0
2014-01-02,"19103",0,0,0,0,0,0,0,0,0,0,0
2014-01-02,"19104",0,0,0,0,0,0,0,0,0,0,0
2014-01-02,"19106",0,0,0,0,0,0,0,0,0,0,0
2014-01-02,"19107",0,0,0,0,0,0,0,0,0,0,0
2014-01-02,"19109",0,0,0,0,0,0,0,0,0,0,0
2014-01-02,"19111",0,0,0,0,0,0,0,0,0,0,0
2014-01-02,"19112",0,0,0,0,0,0,0,0,0,0,0
2014-01-02,"19114",0,0,0,0,0,0,0,0,0,0,0
2014-01-02,"19115",0,0,0,0,0,0,0,0,0,0,0
2014-01-02,"19116",0,0,0,0,0,0,0,0,0,0,0
2014-01-02,"19118",0,0,0,0,0,0,0,0,0,0,0
2014-01-02,"19119",0,0,0,0,0,0,0,0,0,0,0
2014-01-02,"19120",0,0,0,0,0,0,0,0,0,0,0
2014-01-02,"19121",0,0,0,0,0,0,0,0,0,0,0
2014-01-02,"19122",0,0,0,0,0,0,0,0,0,0,0
2014-01-02,"19123",0,0,0,0,0,0,0,0,0,0,0
2014-01-02,"19124",0,0,0,0,0,0,0,0,0,0,0
2014-01-02,"19125",0,0,0,0,0,0,0,0,0,0,0
2014-01-02,"19126",0,0,0,0,0,0,0,0,0,0,0
2014-01-02,"19127",0,0,0,0,0,0,0,0,0,0,0
2014-01-02,"19128",0,0,0,0,0,0,0,0,0,0,0
2014-01-02,"19129",0,0,0,0,0,0,0,0,0,0,0
2014-01-02,"19130",0,0,0,0,0,0,0,0,0,0,0
2014-01-02,"19131",0,0,0,0,0,0,0,0,0,0,0
2014-01-02,"19132",0,0,0,0,0,0,0,0,0,0,0
2014-01-02,"19133",0,0,0,0,0,0,0,0,0,0,0
2014-01-02,"19134",0,0,0,0,0,0,0,0,0,0,0
2014-01-02,"19135",0,0,0,0,0,0,0,0,0,0,0
2014-01-02,"19136",0,0,0,0,0,0,0,0,0,0,0
2014-01-02,"19137",0,0,0,0,0,0,0,0,0,0,0
2014-01-02,"19138",0,0,0,0,0,0,0,0,0,0,0
2014-01-02,"19139",0,0,0,0,0,0,0,0,0,0,0
2014-01-02,"19140",0,0,0,0,0,0,0,0,0,0,0
2014-01-02,"19141",0,0,0,0,0,0,0,0,0,0,0
2014-01-02,"19142",0,0,0,0,0,0,0,0,0,0,0
2014-01-02,"19143",0,0,0,0,0,0,0,0,0,0,0
2014-01-02,"19144",0,0,0,0,0,0,0,0,0,0,0
2014-01-02,"19145",0,0,0,0,0,0,0,0,0,0,0
2014-01-02,"19146",0,0,0,0,0,0,0,0,0,0,0
2014-01-02,"19147",0,0,0,0,0,0,0,0,0,0,0
2014-01-02,"19148",0,0,0,0,0,0,0,0,0,0,0
2014-01-02,"19149",0,0,0,0,0,0,0,0,0,0,0
2014-01-02,"19150",0,0,0,0,0,0,0,0,0,0,0
2014-01-02,"19151",0,0,0,0,0,0,0,0,0,0,0
2014-01-02,"19152",0,0,0,0,0,0,0,0,0,0,0
2014-01-02,"19153",0,0,0,0,0,0,0,0,0,0,0
2014-01-02,"19154",0,0,0,0,0,0,0,0,0,0,0
2014-01-02,"Unknown",0,0,0,0,0,0,0,0,92,93,0
2014-01-06,"19102",0,0,0,0,0,0,0,69,77,447,0
2014-01-06,"19103",129,0,0,0,0,0,0,0,0,0,0
2014-01-06,"19104",0,0,0,0,0,0,0,159,141,74,0
2014-01-06,"19106",0,0,0,0,0,0,0,0,0,65,0
2014-01-06,"19107",64,0,0,0,0,0,0,68,68,68,0
2014-01-06,"19109",0,0,0,0,0,0,0,0,0,0,0
2014-01-06,"19111",0,0,0,0,0,0,0,0,0,0,0
2014-01-06,"19112",0,0,0,0,0,0,0,0,0,0,0
2014-01-06,"19114",66,0,0,0,0,0,0,0,80,0,0
2014-01-06,"19115",0,0,0,0,0,0,0,0,0,0,0
2014-01-06,"19116",0,0,0,0,0,0,0,0,0,0,0
2014-01-06,"19118",0,0,0,0,0,0,0,0,0,0,0
2014-01-06,"19119",0,0,0,0,0,0,0,0,0,0,0
2014-01-06,"19120",185,0,0,0,0,0,0,83,78,143,0
2014-01-06,"19121",161,0,0,0,0,0,0,0,65,0,0
2014-01-06,"19122",0,0,0,131,0,0,0,0,0,70,0
2014-01-06,"19123",0,0,0,0,68,0,0,0,0,0,0
2014-01-06,"19124",127,0,0,0,0,0,0,0,72,76,0
2014-01-06,"19125",126,0,0,0,0,0,0,0,0,151,0
2014-01-06,"19126",0,0,0,0,0,0,0,0,0,0,0
2014-01-06,"19127",0,0,0,0,0,0,0,0,0,0,0
2014-01-06,"19128",0,0,0,0,0,0,0,0,0,0,0
2014-01-06,"19129",0,0,0,0,0,0,0,0,75,75,0
2014-01-06,"19130",128,0,0,0,0,0,0,0,0,222,0
2014-01-06,"19131",0,0,0,0,0,0,0,0,68,69,0
2014-01-06,"19132",127,0,0,0,0,0,0,0,0,69,0
2014-01-06,"19133",0,0,0,0,0,0,0,68,0,86,0
2014-01-06,"19134",0,0,0,0,0,0,212,82,0,207,0
2014-01-06,"19135",0,0,0,0,0,0,0,0,0,0,0
2014-01-06,"19136",0,0,0,0,0,0,0,0,82,0,0
2014-01-06,"19137",144,0,0,0,0,0,0,0,0,0,0
2014-01-06,"19138",0,0,0,0,0,0,0,0,81,0,0
2014-01-06,"19139",0,0,0,186,0,0,0,0,70,70,0
2014-01-06,"19140",88,0,0,0,0,0,0,61,0,0,0
2014-01-06,"19141",0,0,0,0,0,0,0,57,76,0,0
2014-01-06,"19142",0,0,0,0,0,0,0,0,82,80,0
2014-01-06,"19143",0,0,0,58,0,44,0,0,77,82,0
2014-01-06,"19144",74,0,0,0,0,0,0,0,61,148,0
2014-01-06,"19145",0,0,0,0,0,0,0,0,69,69,0
2014-01-06,"19146",127,0,0,0,0,0,0,0,0,0,0
