"date_value","Retail Theft","Theft","Fraud/Theft of Services","Vandalism","Alcohol Possession by Minor","Public Drunkenness","Trespass","Disorderly Conduct","Minor Violations (Open Container, Public Urination, Smoking Violation)","Uncategorized Offenses","<NA>"
2014-01-02,0,0,0,0,0,0,0,0,92,93,0
2014-01-06,127,0,186,131,68,44,150,68,76,79,28
2014-01-07,100,0,109,68,0,65,109,72,74,77,92
2014-01-08,173,0,113,0,95,0,87,94,86,89,0
2014-01-09,121,0,166,92,68,90,73,70,64,72,42
2014-01-10,119,0,56,0,0,0,168,132,142,153,0
2014-01-11,73,0,144,0,77,104,116,76,134,78,0
2014-01-13,0,0,0,0,0,0,0,18,17,14,0
2014-01-14,116,0,1079,0,0,0,0,93,90,88,0
2014-01-15,0,0,124,0,0,0,0,230,14,301,0
2014-01-16,0,0,0,0,0,0,0,0,112,518,0
2014-01-17,1101,0,0,0,0,0,0,0,0,31,0
2014-01-21,234,0,116,80,0,70,66,62,85,115,61
2014-01-23,176,172,114,73,0,0,101,73,73,71,0
2014-01-24,108,0,314,0,0,0,114,333,116,117,0
2014-01-25,118,0,120,0,120,79,71,109,120,94,116
2014-01-27,150,0,111,53,58,239,109,58,61,76,39
2014-01-28,56,0,110,33,37,66,110,58,69,93,109
2014-01-29,181,0,144,0,0,60,54,91,58,77,0
2014-01-30,150,0,127,0,0,0,112,101,75,104,74
2014-01-31,65,0,138,0,0,158,126,263,150,99,0
2014-02-03,137,0,144,618,86,98,145,93,86,89,0
2014-02-04,229,0,97,0,164,49,78,62,54,89,0
2014-02-05,199,0,138,0,0,46,97,74,79,96,1078
2014-02-06,92,0,63,48,46,48,98,48,61,92,61
2014-02-07,86,0,116,49,112,41,113,41,42,114,178
2014-02-08,71,50,133,86,72,88,100,82,82,130,89
2014-02-10,194,0,110,56,0,40,102,42,54,54,172
2014-02-11,126,0,130,0,0,82,112,82,99,105,0
2014-02-12,78,0,108,0,0,51,80,60,53,82,71
2014-02-18,58,0,98,0,111,47,106,107,78,95,0
2014-02-19,82,0,105,119,0,30,106,61,35,102,60
2014-02-20,74,0,112,75,174,0,118,113,105,105,35
2014-02-21,76,0,102,108,0,65,32,28,35,64,43
2014-02-22,56,0,164,92,70,53,61,72,127,142,0
2014-02-24,218,0,98,0,1108,47,38,32,47,93,0
2014-02-25,38,0,98,0,0,0,100,116,96,95,0
2014-02-26,44,0,100,0,0,23,98,98,98,68,0
2014-02-27,110,0,93,58,0,0,614,22,31,118,0
2014-02-28,165,0,100,0,0,22,123,67,42,95,0
2014-03-04,70,0,100,54,0,42,19,63,94,43,0
