Year,Month,Hospital1_transfers,Hospital2_transfers,Hospital3_transfers,Hospital4_transfers,Hospital5_transfers,Hospital6_transfers,Hospital7_transfers,Hospital8_transfers,Hospital9_transfers,Hospital10_transfers
2014,Jan,25,17,9,11,12,6,8,8,2,3
2014,Feb,21,13,7,8,9,7,10,2,1,4
2014,Mar,26,9,10,8,7,8,4,9,6,4
2014,Apr,38,29,15,18,15,9,12,14,2,10
2014,May,59,34,14,17,16,13,14,7,4,5
2014,Jun,50,17,18,19,20,2,9,6,5,5
2014,Jul,58,12,16,20,14,7,12,10,5,4
2014,Aug,52,35,13,16,11,9,11,7,2,3
2014,Sep,50,21,11,21,10,5,14,3,2,5
2014,Oct,50,18,6,23,7,1,14,4,5,5
2014,Nov,30,15,9,18,18,3,6,6,5,7
2014,Dec,37,13,9,10,10,6,14,7,3,9
2015,Jan,29,23,11,16,16,7,12,6,3,6
2015,Feb,26,26,9,7,14,3,9,8,1,3
2015,Mar,25,19,9,10,12,7,20,10,8,7
2015,Apr,36,25,8,23,10,14,15,11,8,7
2015,May,86,26,12,19,13,9,17,9,7,6
2015,Jun,84,26,21,24,9,6,17,10,8,2
2015,Jul,99,42,17,28,12,11,23,9,16,6
2015,Aug,92,37,27,40,18,14,11,16,12,11
2015,Sep,84,34,26,31,15,13,21,14,2,11
2015,Oct,50,31,10,25,13,10,16,9,6,6
2015,Nov,40,21,16,24,12,12,18,8,9,4
2015,Dec,52,27,20,22,12,6,7,9,7,9
2016,Jan,39,14,15,27,6,14,13,10,3,7
2016,Feb,57,35,12,32,8,8,14,15,15,11
2016,Mar,56,36,17,30,24,13,19,22,7,8
2016,Apr,63,21,31,41,21,21,20,14,10,10
2016,May,57,32,33,27,23,19,11,15,15,8
2016,Jun,75,41,34,31,29,24,18,13,15,10
2016,Jul,87,50,21,26,18,23,20,19,10,11
2016,Aug,82,32,24,34,19,27,18,13,13,14
2016,Sep,84,41,27,32,21,19,20,11,21,8
2016,Oct,79,41,22,21,20,20,15,11,18,9
2016,Nov,127,57,24,27,17,16,25,22,12,9
2016,Dec,82,57,42,45,29,24,23,11,10,13
2017,Jan,106,57,26,31,25,23,18,21,12,6
2017,Feb,135,59,33,36,27,30,16,16,15,13
2017,Mar,98,60,42,30,25,28,14,15,12,18
2017,Apr,131,60,56,32,31,17,17,19,10,17
2017,May,140,61,51,54,29,35,31,18,18,18
2017,Jun,129,58,61,38,38,21,26,20,29,15
2017,Jul,135,53,47,58,31,14,19,17,29,14
2017,Aug,156,53,26,50,23,21,20,11,10,15
2017,Sep,74,44,21,37,27,32,28,17,20,17
2017,Oct,32,18,28,29,22,20,14,24,13,16
2017,Nov,22,17,19,15,14,11,11,12,7,12
2017,Dec,74,29,24,21,14,22,12,11,12,9
2018,Jan,74,24,12,21,12,17,17,8,16,7
2018,Feb,57,28,11,19,12,10,11,7,2,18
2018,Mar,77,34,10,26,12,15,9,16,12,8
2018,Apr,85,34,21,24,13,15,18,10,12,11
2018,May,79,24,21,20,14,21,16,12,8,10
2018,Jun,96,29,29,31,25,19,20,14,25,9
2018,Jul,93,43,25,36,15,19,16,8,13,15
2018,Aug,92,26,31,28,12,17,19,12,9,9
2018,Sep,86,30,22,34,11,19,16,15,2,9
2018,Oct,54,15,19,26,14,17,19,6,6,10
2018,Nov,40,18,21,16,9,13,18,4,3,8
2018,Dec,32,16,21,9,9,10,17,7,6,7
2019,Jan,36,9,15,18,12,15,16,5,2,9
2019,Feb,27,12,15,20,12,13,8,11,6,4
2019,Mar,49,21,18,19,15,5,15,14,6,9
2019,Apr,60,18,27,21,11,15,19,8,11,10
2019,May,39,16,16,29,7,10,15,9,12,10
2019,Jun,74,16,22,25,13,6,16,4,4,9
