Zip.Code,X2014Q1,X2014Q2,X2014Q3,X2014Q4,X2015Q1,X2015Q2,X2015Q3,X2015Q4,X2016Q1,X2016Q2,X2016Q3,X2016Q4,X2017Q1,X2017Q2,X2017Q3,X2017Q4,X2018Q1,X2018Q2,X2018Q3,X2018Q4
19102,0,0,0,0,0,0,0,0,0,<6,0,0,0,0,0,<6,0,0,<6,0
19103,0,0,<6,0,0,0,0,0,0,0,<6,0,<6,<6,0,<6,<6,<6,0,0
19104,<6,<6,<6,<6,7,<6,<6,7,<6,<6,<6,7,<6,<6,<6,<6,<6,<6,6,8
19106,0,0,0,<6,0,0,0,0,0,<6,<6,<6,<6,<6,<6,0,<6,0,<6,0
19107,<6,<6,0,<6,<6,<6,<6,<6,<6,<6,<6,0,<6,<6,<6,<6,<6,<6,<6,<6
19111,<6,8,<6,0,<6,<6,<6,<6,7,<6,10,<6,14,13,7,<6,<6,<6,9,7
19114,<6,<6,<6,<6,<6,<6,<6,<6,<6,<6,7,7,<6,8,6,<6,<6,10,7,<6
19115,<6,<6,<6,<6,0,<6,<6,0,<6,<6,<6,0,<6,<6,<6,6,<6,<6,<6,<6
19116,<6,<6,<6,<6,<6,<6,<6,<6,7,<6,<6,<6,<6,<6,<6,<6,7,<6,6,<6
19118,0,0,0,0,<6,0,0,0,0,0,<6,0,0,0,<6,<6,0,<6,0,<6
19119,0,0,0,0,<6,<6,<6,0,0,<6,<6,<6,<6,<6,<6,<6,<6,<6,<6,0
19120,<6,<6,<6,8,6,<6,<6,<6,<6,<6,9,7,10,12,6,<6,<6,6,<6,<6
19121,<6,9,<6,<6,6,6,<6,7,<6,8,6,6,6,6,<6,6,8,6,<6,<6
19122,<6,<6,<6,<6,<6,<6,<6,<6,<6,<6,<6,<6,<6,<6,<6,<6,<6,<6,<6,<6
19123,0,0,<6,<6,0,<6,0,<6,0,<6,<6,<6,<6,<6,<6,<6,<6,<6,<6,<6
19124,7,12,11,10,7,9,10,11,7,<6,<6,9,20,15,30,23,13,12,20,20
19125,6,6,<6,<6,<6,<6,<6,<6,<6,6,<6,9,10,9,<6,<6,<6,<6,<6,10
19126,0,0,0,<6,<6,0,<6,<6,<6,<6,<6,<6,<6,<6,<6,0,<6,<6,0,0
19127,<6,<6,0,<6,0,0,<6,<6,0,0,<6,0,0,<6,0,0,<6,<6,0,0
19128,0,<6,0,<6,<6,<6,<6,<6,<6,<6,<6,<6,6,<6,<6,<6,<6,<6,<6,<6
19129,0,0,0,0,<6,0,<6,<6,<6,<6,0,<6,0,<6,0,<6,<6,<6,<6,<6
19130,0,<6,<6,<6,<6,<6,0,<6,<6,0,<6,<6,<6,0,<6,<6,0,<6,<6,<6
19131,<6,<6,<6,<6,<6,<6,<6,<6,<6,<6,<6,<6,<6,6,<6,<6,<6,<6,<6,7
19132,<6,6,<6,7,11,6,<6,8,8,<6,8,12,<6,8,9,7,8,7,<6,7
19133,<6,<6,<6,<6,<6,<6,<6,9,7,<6,<6,8,11,7,6,<6,6,6,<6,14
19134,9,6,11,14,10,9,9,<6,12,19,17,26,26,35,40,21,21,21,30,21
19135,<6,8,<6,<6,8,8,<6,6,9,7,<6,16,8,10,8,7,9,10,8,9
19136,6,9,<6,6,8,8,<6,<6,9,<6,8,11,8,6,7,9,10,9,9,7
19137,<6,<6,<6,<6,6,0,<6,0,<6,<6,<6,<6,<6,<6,<6,<6,<6,<6,<6,<6
19138,<6,0,<6,<6,<6,<6,<6,0,<6,<6,<6,<6,0,0,<6,0,<6,<6,<6,<6
19139,<6,<6,<6,8,<6,<6,6,7,9,7,0,8,9,<6,8,7,<6,8,9,8
19140,6,11,<6,8,<6,8,8,12,<6,8,6,7,11,14,7,10,7,15,16,8
19141,<6,6,<6,<6,<6,<6,<6,<6,<6,<6,<6,<6,<6,<6,<6,<6,<6,<6,<6,<6
19142,<6,<6,<6,<6,0,<6,<6,<6,<6,<6,<6,<6,<6,<6,<6,<6,<6,<6,<6,<6
19143,<6,<6,<6,<6,<6,7,<6,8,7,<6,<6,12,8,9,<6,<6,6,9,7,<6
19144,<6,9,7,6,6,6,<6,6,8,<6,<6,8,6,<6,<6,8,6,<6,<6,7
19145,<6,7,<6,<6,6,<6,<6,<6,7,10,6,<6,15,12,8,<6,<6,7,<6,7
19146,0,<6,<6,<6,<6,<6,<6,<6,<6,<6,<6,<6,7,<6,9,<6,<6,<6,<6,<6
19147,<6,<6,<6,<6,<6,<6,<6,<6,<6,<6,<6,<6,6,9,<6,<6,<6,<6,<6,<6
19148,<6,9,<6,<6,8,<6,<6,7,7,10,8,16,12,14,16,7,11,9,20,15
19149,<6,<6,<6,<6,<6,<6,<6,<6,<6,<6,<6,11,6,9,10,10,<6,<6,8,9
19150,0,<6,0,0,<6,0,0,<6,<6,0,<6,<6,0,0,0,<6,0,0,<6,<6
19151,<6,0,<6,<6,<6,<6,0,<6,<6,<6,<6,<6,<6,<6,<6,<6,<6,<6,<6,<6
19152,<6,<6,<6,<6,<6,<6,7,<6,0,7,<6,7,<6,7,<6,6,6,6,<6,<6
19153,0,0,0,<6,0,<6,<6,<6,<6,<6,0,<6,0,<6,<6,<6,<6,0,0,0
19154,<6,<6,<6,<6,<6,<6,<6,<6,<6,<6,<6,6,7,7,12,8,<6,<6,<6,7
OOJ,24,20,11,13,20,15,16,19,26,25,28,44,38,40,41,33,42,40,40,35
Unknown,<6,<6,0,<6,0,<6,<6,<6,<6,<6,<6,<6,<6,9,<6,8,<6,9,6,<6
