Program.Name,DBA,Street,City,State,Zipcode,Phone,Certification
"Pinnacle Treatment Centers PA-V, LLC",Pinnacle Treatment Services of Aliquippa,400 Woodlawn Dr.,Aliquippa,PA,15001,(724) 857-9640,Certified
White Deer Run,,360 White Deer Run Road,Allenwood,PA,17810,(800) 255-2335,Certified
Dolminis Methadone Maintenance Program,,2 Sellers Drive,Altoona,PA,16601,(814) 204-0059,Certified
"Pennsylvania Care, LLC",Miners Medical,43 South Main Street,Ashley,PA,18706,(570) 822-5145,Certified
New Directions Treatment Services,,2442 Broadhead Rd.,Bethlehem,PA,18020,(610) 758-8011,Certified
Lehigh County Center for Recovery,,1620 Riverside Drive,Bethlehem,PA,18015,(855) 256-3285,Provisional
MedMark Treatment Centers - Blairsville PA,MedTech Rehab,1984 Route 22,Blairsville,PA,15717,(724) 459-4884,Certified
"Foundations Medical Services, LLC",,160 Hindman Road,Butler,PA,16001,(724) 431-2006,Certified
ARS of Pennsylvania LLC,,3433 Trindle Road,Camp Hill,PA,17011,(717) 761-4500,Certified
"Fayette Treatment Program, LLC",Greene Treatment Center,2695 Roy E Furman Highway,Carmichaels,PA,15320,(724) 966-5000,Certified
Pinnacle Treatment Centers PA-VIII,Charleroi Treatment Services,15 Arentzen Blvd.,Charleroi,PA,15022,(724) 565-1310,Certified
"Prospect CCMC, LLC",Crozer Chester Medical Center,301 w 15th st,Chester,PA,19013,(610) 619-8645,Certified
"Discovery House CU, LLC",Discovery House,214 Airport Road,Clearfield,PA,16830,(814) 768-7575,Certified
"Advanced Treatment Systems, LLC",Coatesville Treatment Center,1825 East Lincoln Hwy.,Coatesville,PA,19320,(610) 466-9250,Certified
"Center for Behavioral Health-PA, LLC",Discovery House,"301 Smith Dr., Suite 3",Cranberry Township,PA,16066,(724) 779-2010,Certified
Recovery Centers of America at Devon,Recovery Centers of America at Devon,235 W. Lancaster Ave,Devon,PA,19333,,Certified
"Aldie Foundation, Inc.",,11 Welden Drive,Doylestown,PA,18901,(215) 345-8530,Certified
"Discovery House-BC, LLC",Discovery House,3438 Route 764,Duncansville,PA,16635,(814) 944-7000,Certified
"Habit Opco, LLC",Habit OPCO - Dunmore,118 Monahan Avenue,Dunmore,PA,18512,(570) 344-5327,Certified
Eagleville Hospital,Eagleville Hospital,100 Eagleville Rd.,Eagleville,PA,19403,(610) 539-6000,Certified
Esper Treatment Center,,25 West 18th St.,Erie,PA,16508,(814) 459-0817,Certified
New Directions Healthcare,New Directions Healthcare,306 West 11th Street,Erie,PA,16501,(814) 240-6216,Certified
"DISCOVERY HOUSE-NPA, LLC",Discovery House,1914 Mercer Avenue,Farrell,PA,16121,(724) 981-9815,Certified
Medmark Treatment Centers - Greensburg,,1037 Compass Circle,Greensburg,PA,15601,(724) 834-1144,Certified
"Pinnacle Treatment Centers PA-VII, LLC",Hanover Treatment Services,120 Penn Street,Hanover,PA,17331,(717) 969-8400,Certified
"Discovery House HA, LLC",Discovery House,99 South Cameron St.,Harrisburg,PA,17101,(717) 233-7290,Certified
Pennsylvania Psychiatric Institute,,2501 North 3rd St.,Harrisburg,PA,17110,(717) 480-8083,Certified
"RHJ Medical Center, Inc",,1005 Old State Route 119,Hunker,PA,15639,(724) 696-9600,Certified
"Discovery House, LLC",Discovery House,2755 Philmont Avenue,Huntingdon Valley,PA,19006,(215) 947-4100,Certified
"Pinnacle Treatment Centers PA-III, LLC",Alliance Medical Services-Johnstown,1425 Scalp Avenue #175,Johnstown,PA,15904,(814) 269-4700,Certified
Bowling Green Brandywine,Bowling Green Brandywine,1385 Newark Road,Kennett Square,PA,19348,(610) 268-3588,Certified
"ARS of Lancaster, LP",Addiction Recovery Systems,2192 Embassy Dr.,Lancaster,PA,17603,(717) 394-7160,Certified
White Deer Run of Lancaster,,53-55 N. West End Avenue,Lancaster,PA,17603,(717) 396-0650,Provisional
Aldie Foundation Inc.,,2291 Cabot Blvd. West,Langhorne,PA,19047-1806,(215) 642-3230,Certified
SOAR Corp,,33 WILLIAMS STREET,LANSDOWNE,PA,19050,(215) 464-4450,Certified
RCA MAT PA LLC,Delaware County Healthcare Clinic,53 N UNION AVE,LANSDOWNE,PA,19050,(484) 257-1350,Provisional
New Perspectives of White Deer Run,,3030 Chestnut Street,Lebanon,PA,17042,(717) 270-3900,Provisional
"Advanced Treatment Systems, LLC",Lebanon Treatment Center,3030 Chestnut St.,Lebanon,PA,17046,(717) 273-8000,Certified
Polaris Renewal Services II,,2262 University Drive,Lemont Furnace,PA,15456,(724) 323-8200,Provisional
SOAR CORP,SOAR Corp,7500 BRISTOL PIKE,LEVITTOWN,PA,19057,(215) 269-9081,Certified
UPMC McKeesport Hospital,Addiction Medicine Services,1500 Fifth Avenue,McKeesport,PA,15132,(412) 664-3340,Provisional
