Program.Name,DBA,Phone,Certification,Address,latitude,longitude
"Pinnacle Treatment Centers PA-V, LLC",Pinnacle Treatment Services of Aliquippa,(724) 857-9640,Certified,"400 Woodlawn Dr., Aliquippa, PA, 15001",40.6178447,-80.2461717
White Deer Run,,(800) 255-2335,Certified,"360 White Deer Run Road, Allenwood, PA, 17810",41.09999076,-76.92598353
Dolminis Methadone Maintenance Program,,(814) 204-0059,Certified,"2 Sellers Drive, Altoona, PA, 16601",40.4607391,-78.4085282
"Pennsylvania Care, LLC",Miners Medical,(570) 822-5145,Certified,"43 South Main Street, Ashley, PA, 18706",41.21155375,-75.90164995
New Directions Treatment Services,,(610) 758-8011,Certified,"2442 Broadhead Rd., Bethlehem, PA, 18020",40.6778978,-75.3662675
Lehigh County Center for Recovery,,(855) 256-3285,Provisional,"1620 Riverside Drive, Bethlehem, PA, 18015",40.62192193,-75.33311643
MedMark Treatment Centers - Blairsville PA,MedTech Rehab,(724) 459-4884,Certified,"1984 Route 22, Blairsville, PA, 15717",40.4405904,-79.2554591
"Foundations Medical Services, LLC",,(724) 431-2006,Certified,"160 Hindman Road, Butler, PA, 16001",40.88161281,-79.94823561
ARS of Pennsylvania LLC,,(717) 761-4500,Certified,"3433 Trindle Road, Camp Hill, PA, 17011",40.236846,-76.938806
"Fayette Treatment Program, LLC",Greene Treatment Center,(724) 966-5000,Certified,"2695 Roy E Furman Highway, Carmichaels, PA, 15320",39.8586748,-79.9458059
Pinnacle Treatment Centers PA-VIII,Charleroi Treatment Services,(724) 565-1310,Certified,"15 Arentzen Blvd., Charleroi, PA, 15022",40.12151561,-79.88546037
"Prospect CCMC, LLC",Crozer Chester Medical Center,(610) 619-8645,Certified,"301 w 15th st, Chester, PA, 19013",39.85852,-75.36461
"Discovery House CU, LLC",Discovery House,(814) 768-7575,Certified,"214 Airport Road, Clearfield, PA, 16830",41.04567016,-78.39681107
"Advanced Treatment Systems, LLC",Coatesville Treatment Center,(610) 466-9250,Certified,"1825 East Lincoln Hwy., Coatesville, PA, 19320",39.9861247,-75.8064526
"Center for Behavioral Health-PA, LLC",Discovery House,(724) 779-2010,Certified,"301 Smith Dr., Suite 3, Cranberry Township, PA, 16066",40.6976769,-80.1015528
Recovery Centers of America at Devon,Recovery Centers of America at Devon,,Certified,"235 W. Lancaster Ave, Devon, PA, 19333",40.0452027,-75.4279745
"Aldie Foundation, Inc.",,(215) 345-8530,Certified,"11 Welden Drive, Doylestown, PA, 18901",40.3339994,-75.144277
"Discovery House-BC, LLC",Discovery House,(814) 944-7000,Certified,"3438 Route 764, Duncansville, PA, 16635",40.4616904,-78.426631
"Habit Opco, LLC",Habit OPCO - Dunmore,(570) 344-5327,Certified,"118 Monahan Avenue, Dunmore, PA, 18512",41.4310243,-75.6157833
Eagleville Hospital,Eagleville Hospital,(610) 539-6000,Certified,"100 Eagleville Rd., Eagleville, PA, 19403",40.157707,-75.4102324
Esper Treatment Center,,(814) 459-0817,Certified,"25 West 18th St., Erie, PA, 16508",42.118234,-80.07827627
New Directions Healthcare,New Directions Healthcare,(814) 240-6216,Certified,"306 West 11th Street, Erie, PA, 16501",42.12220341,-80.08839398
"DISCOVERY HOUSE-NPA, LLC",Discovery House,(724) 981-9815,Certified,"1914 Mercer Avenue, Farrell, PA, 16121",41.21307446,-80.48040746
Medmark Treatment Centers - Greensburg,,(724) 834-1144,Certified,"1037 Compass Circle, Greensburg, PA, 15601",40.3071116,-79.5218906
"Pinnacle Treatment Centers PA-VII, LLC",Hanover Treatment Services,(717) 969-8400,Certified,"120 Penn Street, Hanover, PA, 17331",39.80974048,-76.97976544
