DocSort,HealthCenter,Address,Zip,MAT,Buprenorphine Providers,ShortName,Phone,Website,Notes,
1,"City of Philadelphia
Public Health District Health Center #2","1700 South Broad Street
Unit 201",19145,Yes,4,HC 2,215-685-1803,https://www.phila.gov/services/mental-physical-health/city-health-centers/,,
2,"City of Philadelphia
Public Health District Health Center #3",555 South 43rd Street,19104,Unclear,?,HC 3,215-685-7504,https://www.phila.gov/services/mental-physical-health/city-health-centers/,,
3,"City of Philadelphia
Public Health District Health Center #5",1900 North 20th Street,19121,Unclear,?,HC 5,215-685-2933,https://www.phila.gov/services/mental-physical-health/city-health-centers/,,
4,"City of Philadelphia
Strawberry Mansion Health Center",2840 W. Dauphin Street,19132,Yes,2,Strawberry Mansion,215-685-2400,https://www.phila.gov/services/mental-physical-health/city-health-centers/,,
5,"City of Philadelphia 
Public Health District Health Center #4",4400 Haverford Ave.,19104,Yes,4,HC 4,215-685-7601,https://www.phila.gov/services/mental-physical-health/city-health-centers/,,
6,"City of Philadelphia
Public Health District Health Center #6",321 W. Girard Ave.,19123,Yes,5,HC 6,215-685-3800,https://www.phila.gov/services/mental-physical-health/city-health-centers/,,
8,"City of Philadelphia
Public Health District Health Center #9",131 E. Chelten Ave.,19144,No,0,HC 9,215-685-5701,https://www.phila.gov/services/mental-physical-health/city-health-centers/,,
9,"City of Philadelphia
Public Health District Health Center #10",2230 Cottman Avenue,19149,Yes,??,HC 10,215-685-0639,https://www.phila.gov/services/mental-physical-health/city-health-centers/,,
13,Covenant House Health Services,251 E. Bringhurst Street,19144,Unclear,?,,215-844-0181,[https://www.freeclinics.com/det/pa_Covenant_House_Inc],"HF website link is wrong: Do NOT confuse ""Covenant Health"" FQHCs (https://www.practicelink.com/facility/Covenant-House-Health-Services-Inc/Pennsylvania-Association-of-Community-Health-Centers/) with a different ""Covenant Health"" that serves homeless youth; they are located at a separate address (on Armat Street) and have a CHOP-affiliated clinic; 215-951-5411 is their phone #. ",
14,"Covenant House Health Services
Covenant House Health and Dental Center","138 Chelten Avenue
Second Floor Rear",19144,Unclear,?,,267-331-9832,[no web information found for this address],,
15,"Covenant House Health Services 
Mt. Pleasant Health Center",8125 Stenton Avenue,19150,Unclear,?,,215-248-7561,[https://www.freeclinics.com/det/pa_19150_mt-pleasant-medical-center-covenant-house],(URL http://www.covenanthousehealth.org/ has no site),
16,"Delaware Valley Community Health 
Fairmount Primary Care Center at Girard Medical Center",801 West Girard Avenue,19122,Yes,5 or 6,DVCH: FPCC-GMC,215-827-8010,https://dvch.org/locations/fairmount-primary-care-center-at-girard-medical-center/,,
17,"Delaware Valley Community Health 
Fairmount Primary Care Center",1412 Fairmount Ave,19130,Yes,5 or 6,DVCH: FPCC,215-235-9600,https://dvch.org/locations/the-fairmount-primary-care-center/,,
18,"Delaware Valley Community Health
Maria de los Santos Health Center",401 West Allegheny Avenue,19133,No,0,DVCH: Maria de los Santos,215-291-2500,https://dvch.org/locations/maria-de-los-santos-health-center/,,Report notes MAT at two DVCH sister sites [see https://dvch.org/our-locations/]
19,"Delaware Valley Community Health
Parkview Health Center","841 E. Hunting Park Avenue
Suite 201",19124,No,0,DVCH: Parkview OB/GYN,215-537-7695,https://dvch.org/locations/parkview-health-center/,,Report notes MAT at two DVCH sister sites [see https://dvch.org/our-locations/]
21,"Delaware Valley Health Center
DVCH Fairmount Primary Care at Horizon House",120 S. 30th St,19104,No,0,DVCH: FPCC-HH,215-222-2466,https://dvch.org/locations/the-fairmount-primary-care-center-at-horizon-house/,,Report notes MAT at two DVCH sister sites [see https://dvch.org/our-locations/]
22,"Esperanza Health Center 
Kensington & Allegheny",3156 Kensington Avenue,19134,Yes,3,,"215-831-1100
/ 215-302-3600",https://esperanzahealth.com/,,
23,"Esperanza Health Center 
Fifth Street",2940 N. 5th Street,19133,Yes,2,,"215-221-6633
/ 215-302-3600",https://esperanzahealth.com/,,
24,"Esperanza Health Center 
Hunting Park",4417 N. 6th Street,19140,No,0,,215-302-3600,https://esperanzahealth.com/,,Report notes MAT at two Esperanza sister sites
25,"Family Practice and Counseling Network 
Stephen and Sandra Sheller 11th St. Family Health Services 
of Drexel University",850 N. 11th Street,19123,Yes,7 for 5 sites,FPCN (1 of 5),215-769-1100,https://www.fpcn.com/stephen-and-sandra-sheller-11th-street-family-health-services-of-drexel-university/,,
26,"Family Practice and Counseling Network 
Abbotsford-Falls Health Center","4700 Wissahickon Avenue
Building D, Suite 119",19144,Yes,7 for 5 sites,FPCN (2 of 5),215-843-9720,https://www.fpcn.com/abbottsford-falls/,,
27,"Family Practice and Counseling Network 
Fast Family Care in Shoprite","2800 Fox Street
Unit A",19129,Yes,7 for 5 sites,FPCN (3 of 5),267-597-3610,https://www.fpcn.com/Fast-Family-Care/,Offers referrals for more comprehensive services at other FPCN sites,
28,"Family Practice and Counseling Network 
Health Annex","6120B Woodland Avenue
2nd Floor",19143,Yes,7 for 5 sites,FPCN (4 of 5),215-727-4721,https://www.fpcn.com/health-annex/,,
29,"Family Practice and Counseling Network 
Annex West Health Center",3901 Market Street,19104,Yes,7 for 5 sites,FPCN (5 of 5),215-243-2800,https://www.fpcn.com/annex-west-health-center/,,
30,"Greater Philadelphia Health Action, Inc. 
Hunting Park Health Center",1999 West Hunting Park Avenue,19140,No,0,GPHA: Hunting Park,215-228-9300,https://www.gphainc.org/locations/,,(Report said zero GPHA locations provide MAT)
31,"Greater Philadelphia Health Action, Inc. 
GPHA, Inc. Medical Suite 
at Temple University Kornberg School of Dentistry","3223 North Broad Street
Suite 136, 1st Floor",19140,No,0,GPHA: Temple Kornberg,215-226-3789,https://www.gphainc.org/locations/,,(Report said zero GPHA locations provide MAT)
32,"Greater Philadelphia Health Action, Inc. 
GPHA, Inc. Dental and Behavioral Health",5501 Woodland Avenue,19143,No,0,GPHA: Dental & Behavioral,215-724-4700,https://www.gphainc.org/locations/,,(Report said zero GPHA locations provide MAT)
