ProgramName,Address,Zip,Buprenorphine?,Methadone?,Vivitrol?,Same-day induction during walk-in hours?,Phone,Website,Notes (DBHIDS TAD),IOP,OP,MH Tx
Addiction Medicine and Health Advocates (AMHA),928 Market St,19107,No,Yes,No,,215-923-4202,http://www.amhainc.org/,Spanish; Child care on site,Yes,Yes,No
Asociacion Puertorriquenos en Marcha (APM),4301 Rising Sun Ave,19140,Yes,No,No,,267-296-7200,http://apmphila.org/,Spanish,Yes,Yes,Yes
Chances-Phila Health Mgmt Corp (PHMC)*,"1200 Callowhill St, Suite 102",19123,Yes,No,Yes,,215-825-8220,http://www.phmc.org/site/programs/health-care-centers/375-phmc-care-clinic,"Females only, Child care on site",Yes,Yes,No
COMHAR,2055 E Allegheny Ave,19134,Yes,No,No,,215-427-5800,http://www.comhar.org/,Spanish,No,Yes,Yes
The Consortium,451 S University Ave,19104,No,Yes,Yes,,215-596-8000,http://www.consortium-inc.org/,Spanish; Child care on site,Yes,Yes,Yes
Drexel Medicine Caring Together Clinic,4700 Wissahickon Ave,19144,Yes,No,Yes,,215-967-2130,http://drexelmedicine.org/patient-services/psychiatry/the-caring-together-program/,"[Bupe & Vivitrol = maintenance, not induction.] Females only, Child care on site",No,Yes,No
Gaudenzia Outreach,1306 Spring Garden St,19123,No,No,Yes,,215-238-2150,http://www.gaudenzia.org/,Spanish,Yes,Yes,Yes
Gaudenzia-DRC,3200 Henry Ave,19129,No,No,Yes,,215-991-9700,,--,Yes,Yes,No
GPass,4943 N 5th St,19120,No,No,Yes,,215-456-1662,,"Spanish, Korean, Vietnamese, Chinese, Cambodian",Yes,Yes,No
Interim House Inc - PHMC,333 W Upsal St,19139,Yes,No,Yes,,215-849-4606,,Spanish,Yes,Yes,Yes
JEVS Human Services - Act I,5820 Old York Road,19141,No,Yes,No,,215-276-8400,https://www.jevshumanservices.org/program/achievement-through-counseling-and-treatment/,--,Yes,Yes,No
JEVS Human Services - Act II,1745 N 4th St,19122,No,Yes,No,,215-236-0100,https://www.jevshumanservices.org/program/achievement-through-counseling-and-treatment/,Spanish,Yes,Yes,No
John F Kennedy Behavioral Health Center (JFK),907 N Broad St,19123,No,Yes,No,,215-235-5520,http://www.jfkmhmr.org/,--,No,Yes,Yes
Kensington Hospital,136 Diamond St,19122,No,Yes,No,,215-426-8100,http://kensingtonhospital.org/,--,No,Yes,No
Merakey Behavioral Health,5000 Parkside Ave,19131,Yes,Yes,Yes,Yes,215-879-6116,http://www.nhsonline.org/,Walk-in: M-F 7a-5:30p; Sa 8a-1:30m; Su 8-11:30a,Yes,Yes,Yes
