ProgramName,Address,Zip,Buprenorphine?,Methadone?,Vivitrol?,Same-day induction during walk-in hours?,Phone,Website,Notes (DBHIDS TAD),IOP,OP,MH Tx,latitude,longitude
Addiction Medicine and Health Advocates (AMHA),928 Market St,19107,No,Yes,No,,215-923-4202,http://www.amhainc.org/,Spanish; Child care on site,Yes,Yes,No,39.9510066,-75.1561655
Asociacion Puertorriquenos en Marcha (APM),4301 Rising Sun Ave,19140,Yes,No,No,,267-296-7200,http://apmphila.org/,Spanish,Yes,Yes,Yes,40.015865,-75.12908929999999
Chances-Phila Health Mgmt Corp (PHMC)*,"1200 Callowhill St, Suite 102",19107,Yes,No,Yes,,215-825-8220,http://www.phmc.org/site/programs/health-care-centers/375-phmc-care-clinic,"Females only, Child care on site",Yes,Yes,No,39.9590346,-75.1587131
Comhar,2055 E Allegheny Ave,19134,Yes,No,No,,215-427-5800,http://www.comhar.org/,Spanish,No,Yes,Yes,39.9929845,-75.1097948
The Consortium,451 S University Ave,19104,No,Yes,Yes,,215-596-8000,http://www.consortium-inc.org/,Spanish; Child care on site,Yes,Yes,Yes,39.9481656,-75.1982371
Drexel Medicine Caring Together Clinic,4700 Wissahickon Ave,19144,Yes,No,Yes,,215-967-2130,http://drexelmedicine.org/patient-services/psychiatry/the-caring-together-program/,"[Bupe & Vivitrol = maintenance, not induction.] Females only, Child care on site",No,Yes,No,40.0159527,-75.1724136
Gaudenzia Outreach,1306 Spring Garden St,19123,No,No,Yes,,215-238-2150,http://www.gaudenzia.org/,Spanish,Yes,Yes,Yes,39.9618338,-75.1596912
Gaudenzia-DRC,3200 Henry Ave,19129,No,No,Yes,,215-991-9700,,--,Yes,Yes,No,40.00936189999999,-75.1812822
GPass,4943 N 5th St,19120,No,No,Yes,,215-991-9700,,"Spanish, Korean, Vietnamese, Chinese, Cambodian",Yes,Yes,No,40.0269374,-75.13235039999999
Interim House Inc - PHMC,333 W Upsal St,19139,Yes,No,Yes,,215-849-4606,,Spanish,Yes,Yes,Yes,40.043181,-75.188918
JEVS Human Services - Act I,5820 Old York Road,19141,No,Yes,No,,215-276-8400,https://www.jevshumanservices.org/program/achievement-through-counseling-and-treatment/,--,Yes,Yes,No,40.0420105,-75.1446418
JEVS Human Services - Act II,1745 N 4th St,19122,No,Yes,No,,215-236-0100,https://www.jevshumanservices.org/program/achievement-through-counseling-and-treatment/,Spanish,Yes,Yes,No,39.9776158,-75.1413539
John F Kennedy Behavioral Health Center (JFK),907 N Broad St,19123,No,Yes,No,,215-235-5520,http://www.jfkmhmr.org/,--,No,Yes,Yes,39.9704202,-75.1591668
Kensington Hospital,136 Diamond St,19122,No,Yes,No,,215-426-8100,http://kensingtonhospital.org/,--,No,Yes,No,39.9817591,-75.13477910000002
Merakey Behavioral Health,5000 Parkside Ave,19131,Yes,Yes,Yes,Yes,215-879-6116,http://www.nhsonline.org/,Walk-in: M-F 7a-5:30p; Sa 8a-1:30m; Su 8-11:30a,Yes,Yes,Yes,39.9796591,-75.2197374
