,ProgramName,Address,Zip,Buprenorphine?,Methadone?,Vivitrol?,Same-day induction during walk-in hours?,Phone,Website,Notes (DBHIDS TAD),IOP,OP,MH Tx,lat,lon
0,Addiction Medicine and Health Advocates (AMHA),928 Market St,19107,No,Yes,No,,215-923-4202,http://www.amhainc.org/,Spanish; Child care on site,Yes,Yes,No,39.951384515530584,-75.15605026664787
1,Asociacion Puertorriquenos en Marcha (APM),4301 Rising Sun Ave,19140,Yes,No,No,,267-296-7200,http://apmphila.org/,Spanish,Yes,Yes,Yes,40.015918879135924,-75.1295494287669
2,Chances-Phila Health Mgmt Corp (PHMC)*,"1200 Callowhill St, Suite 102",19107,Yes,No,Yes,,215-825-8220,http://www.phmc.org/site/programs/health-care-centers/375-phmc-care-clinic,"Females only, Child care on site",Yes,Yes,No,39.959025397809036,-75.15836230093048
3,Comhar,2055 E Allegheny Ave,19134,Yes,No,No,,215-427-5800,http://www.comhar.org/,Spanish,No,Yes,Yes,39.993003000000016,-75.10982849999999
4,The Consortium,451 S University Ave,19104,No,Yes,Yes,,215-596-8000,http://www.consortium-inc.org/,Spanish; Child care on site,Yes,Yes,Yes,39.9472292894428,-75.19848462302522
5,Drexel Medicine Caring Together Clinic,4700 Wissahickon Ave,19144,Yes,No,Yes,,215-967-2130,http://drexelmedicine.org/patient-services/psychiatry/the-caring-together-program/,"[Bupe & Vivitrol = maintenance, not induction.] Females only, Child care on site",No,Yes,No,40.01535000000001,-75.173778
6,Gaudenzia Outreach,1306 Spring Garden St,19123,No,No,Yes,,215-238-2150,http://www.gaudenzia.org/,Spanish,Yes,Yes,Yes,39.96192417478562,-75.15962684350191
7,Gaudenzia-DRC,3200 Henry Ave,19129,No,No,Yes,,215-991-9700,,--,Yes,Yes,No,40.01000689477204,-75.1807310828954
8,GPass,4943 N 5th St,19120,No,No,Yes,,215-991-9700,,"Spanish, Korean, Vietnamese, Chinese, Cambodian",Yes,Yes,No,40.02699226005545,-75.13254322381573
9,Interim House Inc - PHMC,333 W Upsal St,19139,Yes,No,Yes,,215-849-4606,,Spanish,Yes,Yes,Yes,40.043173608950234,-75.1886267102544
