"","ZipCode","avg_outcome_ems","avg_outcome_police","avg_outcome_ed","avg_outcome_death","avg_outcome_unk","avg_outcome_ok","avg_od_drug_heroin","avg_od_drug_cocaine","avg_od_drug_fentanyl","avg_od_drug_unknown","avg_od_drug_other","avg_od_present_breath","avg_od_present_unresponsive","avg_od_present_coloring","avg_od_present_other","avg_cpr_used","n_observations","Naloxone.Pickups","Incident2014Q1","Incident2014Q2","Incident2014Q3","Incident2014Q4","Incident2015Q1","Incident2015Q2","Incident2015Q3","Incident2015Q4","Incident2016Q1","Incident2016Q2","Incident2016Q3","Incident2016Q4","Incident2017Q1","Incident2017Q2","Incident2017Q3","Incident2017Q4","Incident2018Q1","Incident2018Q2","Incident2018Q3","Incident2018Q4","Resident2014Q1","Resident2014Q2","Resident2014Q3","Resident2014Q4","Resident2015Q1","Resident2015Q2","Resident2015Q3","Resident2015Q4","Resident2016Q1","Resident2016Q2","Resident2016Q3","Resident2016Q4","Resident2017Q1","Resident2017Q2","Resident2017Q3","Resident2017Q4","Resident2018Q1","Resident2018Q2","Resident2018Q3","Resident2018Q4","hf_physicians_number","hf_programs_number","hf_providers_number","Bup.More.Than.30","Incident2014Q1.integer","Incident2014Q2.integer","Incident2014Q3.integer","Incident2014Q4.integer","Incident2015Q1.integer","Incident2015Q2.integer","Incident2015Q3.integer","Incident2015Q4.integer","Incident2016Q1.integer","Incident2016Q2.integer","Incident2016Q3.integer","Incident2016Q4.integer","Incident2017Q1.integer","Incident2017Q2.integer","Incident2017Q3.integer","Incident2017Q4.integer","Incident2018Q1.integer","Incident2018Q2.integer","Incident2018Q3.integer","Incident2018Q4.integer","Resident2014Q1.integer","Resident2014Q2.integer","Resident2014Q3.integer","Resident2014Q4.integer","Resident2015Q1.integer","Resident2015Q2.integer","Resident2015Q3.integer","Resident2015Q4.integer","Resident2016Q1.integer","Resident2016Q2.integer","Resident2016Q3.integer","Resident2016Q4.integer","Resident2017Q1.integer","Resident2017Q2.integer","Resident2017Q3.integer","Resident2017Q4.integer","Resident2018Q1.integer","Resident2018Q2.integer","Resident2018Q3.integer","Resident2018Q4.integer","overdose_deaths","overdose_deaths2"
"1","19111",0.366666666666667,0.15,0.2,0,0.15,0.7,0.517241379310345,0.0689655172413793,0.310344827586207,0.241379310344828,0.161290322580645,0.642857142857143,0.75,0.678571428571429,0,0.6,31,301,"<6","<6","<6","<6","<6","<6","<6","<6","7","<6","8","<6","9","11","<6","6","6","<6","8","<6","<6","8","<6","0","<6","<6","<6","<6","7","<6","10","<6","14","13","7","<6","<6","<6","9","7",4,NA,4,2,1,1,1,1,1,1,1,1,7,1,8,1,9,11,1,6,6,1,8,1,1,8,1,0,1,1,1,1,7,1,10,1,14,13,7,1,1,1,9,7,86,68
"2","19120",0.318181818181818,0.210526315789474,0.0526315789473684,0,0.0526315789473684,0.526315789473684,0.695652173913043,0.130434782608696,0.652173913043478,0,0,0.304347826086957,0.565217391304348,0.478260869565217,0.0434782608695652,0.428571428571429,26,333,"<6","<6","<6","7","6","0","<6","<6","<6","<6","8","7","8","10","<6","<6","<6","<6","10","6","<6","<6","<6","8","6","<6","<6","<6","<6","<6","9","7","10","12","6","<6","<6","6","<6","<6",3,NA,3,0,1,1,1,7,6,0,1,1,1,1,8,7,8,10,1,1,1,1,10,6,1,1,1,8,6,1,1,1,1,1,9,7,10,12,6,1,1,6,1,1,76,73
"3","19122",0.1875,0.115384615384615,0,0,0.0769230769230769,0.769230769230769,0.366666666666667,0.0333333333333333,0.366666666666667,0.266666666666667,0.09375,0.387096774193548,0.419354838709677,0.32258064516129,0.225806451612903,0.333333333333333,36,240,"<6","<6","<6","<6","<6","<6","<6","<6","<6","<6","<6","<6","<6","<6","<6","<6","<6","6","<6","<6","<6","<6","<6","<6","<6","<6","<6","<6","<6","<6","<6","<6","<6","<6","<6","<6","<6","<6","<6","<6",9,3,9,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,25
"4","19124",0.358208955223881,0.176470588235294,0.125,0.0261437908496732,0.0718954248366013,0.581699346405229,0.82051282051282,0.2,0.528205128205128,0.0615384615384615,0.0882352941176471,0.438144329896907,0.541237113402062,0.556701030927835,0.0309278350515464,0.453333333333333,219,1243,"9","10","10","8","7","11","9","8","10","9","9","10","24","17","26","25","14","12","20","25","7","12","11","10","7","9","10","11","7","<6","<6","9","20","15","30","23","13","12","20","20",8,NA,8,1,9,10,10,8,7,11,9,8,10,9,9,10,24,17,26,25,14,12,20,25,7,12,11,10,7,9,10,11,7,1,1,9,20,15,30,23,13,12,20,20,248,273
"5","19125",0.206185567010309,0.115942028985507,0.072463768115942,0.0434782608695652,0.202898550724638,0.608695652173913,0.648351648351648,0.10989010989011,0.494505494505495,0.0989010989010989,0.14,0.377777777777778,0.511111111111111,0.555555555555556,0.0112359550561798,0.419354838709677,102,712,"8","6","<6","<6","<6","<6","<6","<6","<6","6","<6","6","11","10","<6","7","6","<6","<6","15","6","6","<6","<6","<6","<6","<6","<6","<6","6","<6","9","10","9","<6","<6","<6","<6","<6","10",7,NA,7,1,8,6,1,1,1,1,1,1,1,6,1,6,11,10,1,7,6,1,1,15,6,6,1,1,1,1,1,1,1,6,1,9,10,9,1,1,1,1,1,10,69,86
"6","19132",0.291666666666667,0.128205128205128,0.0512820512820513,0,0.102564102564103,0.641025641025641,0.729166666666667,0.229166666666667,0.5,0.104166666666667,0.08,0.434782608695652,0.521739130434783,0.608695652173913,2.14893617021277,0.6,53,492,"6","<6","<6","8","13","7","<6","7","7","7","8","13","8","9","7","11","8","10","<6","7","<6","6","<6","7","11","6","<6","8","8","<6","8","12","<6","8","9","7","8","7","<6","7",3,NA,3,0,6,1,1,8,13,7,1,7,7,7,8,13,8,9,7,11,8,10,1,7,1,6,1,7,11,6,1,8,8,1,8,12,1,8,9,7,8,7,1,7,118,140
"7","19133",0.310810810810811,0.15625,0.171875,0.03125,0.0625,0.5,0.819444444444444,0.180555555555556,0.347222222222222,0.0694444444444444,0.0540540540540541,0.352112676056338,0.464788732394366,0.450704225352113,0.028169014084507,0.388888888888889,79,1285,"<6","<6","<6","10","7","<6","6","14","12","8","7","12","23","19","12","8","10","8","9","15","<6","<6","<6","<6","<6","<6","<6","9","7","<6","<6","8","11","7","6","<6","6","6","<6","14",6,NA,6,2,1,1,1,10,7,1,6,14,12,8,7,12,23,19,12,8,10,8,9,15,1,1,1,1,1,1,1,9,7,1,1,8,11,7,6,1,6,6,1,14,85,184
"8","19134",0.334407216494845,0.185154295246038,0.120100083402836,0.0200166805671393,0.073394495412844,0.645,0.724752475247525,0.195250659630607,0.525725593667546,0.103698811096433,0.113795295613477,0.438863185723728,0.578042328042328,0.548941798941799,0.10337972166998,0.49290060851927,1642,4674,"15","18","19","22","19","23","30","21","22","26","39","52","53","59","61","36","35","40","48","36","9","6","11","14","10","9","9","<6","12","19","17","26","26","35","40","21","21","21","30","21",15,NA,15,3,15,18,19,22,19,23,30,21,22,26,39,52,53,59,61,36,35,40,48,36,9,6,11,14,10,9,9,1,12,19,17,26,26,35,40,21,21,21,30,21,358,674
"9","19135",0.405797101449275,0.264150943396226,0.150943396226415,0,0.0566037735849057,0.509433962264151,0.779411764705882,0.132352941176471,0.352941176470588,0.117647058823529,0.126760563380282,0.397058823529412,0.514705882352941,0.426470588235294,0.0882352941176471,0.6,74,566,"<6","11","<6","<6","9","9","<6","7","9","6","<6","13","8","9","9","8","9","13","6","8","<6","8","<6","<6","8","8","<6","6","9","7","<6","16","8","10","8","7","9","10","8","9",1,NA,1,0,1,11,1,1,9,9,1,7,9,6,1,13,8,9,9,8,9,13,6,8,1,8,1,1,8,8,1,6,9,7,1,16,8,10,8,7,9,10,8,9,136,139
"10","19136",0.323943661971831,0.0327868852459016,0.0327868852459016,0,0.0983606557377049,0.639344262295082,0.788732394366197,0.0563380281690141,0.394366197183099,0.126760563380282,0.0684931506849315,0.422535211267606,0.619718309859155,1.86111111111111,0.028169014084507,0.666666666666667,84,444,"<6","8","<6","<6","10","8","<6","<6","7","<6","7","11","9","7","7","8","8","11","10","<6","6","9","<6","6","8","8","<6","<6","9","<6","8","11","8","6","7","9","10","9","9","7",11,2,11,6,1,8,1,1,10,8,1,1,7,1,7,11,9,7,7,8,8,11,10,1,6,9,1,6,8,8,1,1,9,1,8,11,8,6,7,9,10,9,9,7,134,118
"11","19140",0.407894736842105,0.3125,0.03125,0.046875,0.0625,0.375,0.876712328767123,0.136986301369863,0.36986301369863,0.0821917808219178,0.0526315789473684,0.361111111111111,0.555555555555556,0.291666666666667,0.0277777777777778,0.583333333333333,78,702,"7","10","6","10","<6","10","9","12","7","10","6","9","13","21","8","10","9","17","12","11","6","11","<6","8","<6","8","8","12","<6","8","6","7","11","14","7","10","7","15","16","8",26,NA,26,4,7,10,6,10,1,10,9,12,7,10,6,9,13,21,8,10,9,17,12,11,6,11,1,8,1,8,8,12,1,8,6,7,11,14,7,10,7,15,16,8,165,198
